name,target_formula,bad_ranks,pred1
MassSpecGymID0000237,C45H57N3O9,pred_smiles_8;pred_smiles_9;pred_smiles_10,CC(C)CC[C@H]1C(=O)O[C@@H](Cc2ccccc2)C(=O)N(C)[C@@H](Cc2ccccc2)C(=O)O[C@@H](C(C)C)C(=O)O[C@H](Cc2ccccc2)C(=O)N(C)C(=O)N1C(C)C
MassSpecGymID0000472,C52H70N2O11,pred_smiles_1;pred_smiles_2;pred_smiles_3;pred_smiles_4;pred_smiles_5;pred_smiles_6;pred_smiles_7;pred_smiles_8;pred_smiles_9;pred_smiles_10,CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(c3C2=O)C2=CC3=CCN(CC(=C(C)C(C)=C/C=C\[C@H](C)[C@H](O)[C@H](C)[C@H](O)[C@H](C)[C@@H](C)[C@@H](C)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C)N2)CC3=C4O
MassSpecGymID0000473,C52H70N2O11,pred_smiles_2;pred_smiles_3;pred_smiles_4;pred_smiles_5;pred_smiles_6;pred_smiles_7;pred_smiles_8;pred_smiles_9;pred_smiles_10,CC(=O)OC1C=COC2(C)OC3(C)Oc4c(O)cc5c(c4C=C3CN(CCCCCCN3C=CC=C(C)C3C(=O)O)C2=O)C(=O)C(C)=CC=C(C5)C(C)C(C)C(O)C(C)C(C)CCC1C
MassSpecGymID0000474,C52H70N2O11,pred_smiles_1;pred_smiles_2;pred_smiles_3;pred_smiles_4;pred_smiles_5;pred_smiles_6;pred_smiles_7;pred_smiles_8;pred_smiles_9;pred_smiles_10,COC1C=COC2(C)Oc3c(C)c(O)c4c(O)c5cc(c4c3C2=O)NC2CCCN(CCC=C5C(=O)C(C)=CC=CC(C)C(O)C(C)C(O)C(C)C(C)C(OC(C)=O)C1C)CC2
MassSpecGymID0000475,C52H70N2O11,pred_smiles_1;pred_smiles_2;pred_smiles_3;pred_smiles_4;pred_smiles_5;pred_smiles_6;pred_smiles_7;pred_smiles_8;pred_smiles_9;pred_smiles_10,CCCCC1=C(C)c2cc3c(O)c4c(O)c(C)c5c(c24)C(=O)C(C)(OC=CC(OC)C(C)C(OC(C)=O)C(C)C(O)C(C)C(O)C(C)C=CC=C(C)C(=O)NN1CCCCCC3)O5
MassSpecGymID0000476,C52H70N2O11,pred_smiles_2;pred_smiles_3;pred_smiles_4;pred_smiles_5;pred_smiles_6;pred_smiles_7;pred_smiles_8;pred_smiles_9;pred_smiles_10,CCCC1c2c3c(c4c5c(c(C)c(O)c4c2O)OC(C)(OC=CC1OC)C5=O)N(CC1=C(C)C=CC=CC(O)C(C)C(O)CCC(C)CCC(OC(C)=O)C1(C)C=C(CC=CN)OC)C3
MassSpecGymID0000477,C52H70N2O11,pred_smiles_2;pred_smiles_3;pred_smiles_4;pred_smiles_5;pred_smiles_6;pred_smiles_7;pred_smiles_8;pred_smiles_9;pred_smiles_10,COC1C=COC2(C)Oc3c(C)c(O)c4c(O)c5cc(c4c3C2=O)C(=O)C2(CCNCCC(C(=O)C(C)=CCC=CC=CCCC(C)C(O)C(C)C(OC(C)=O)C1C)C(C)CCCN2)C5
MassSpecGymID0000478,C52H70N2O11,pred_smiles_1;pred_smiles_2;pred_smiles_3;pred_smiles_4;pred_smiles_5;pred_smiles_6;pred_smiles_7;pred_smiles_8;pred_smiles_9;pred_smiles_10,CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(O)c(c5c(c4c3C2=O)N(CC(OC(C)=O)C(=[N-])O)C5)[C@@H](C)/C=C\[C@H](C)[C@H](C)[C@@H](C)[C@@H](O)[C@@H](C)C2CCC3(C=C(CC[C@@H]3C)C1(C)C)O2
MassSpecGymID0000479,C52H70N2O11,pred_smiles_1;pred_smiles_2;pred_smiles_3;pred_smiles_4;pred_smiles_5;pred_smiles_6;pred_smiles_7;pred_smiles_8;pred_smiles_9;pred_smiles_10,CC(=O)OC1C=CC=C(C)C[C@@]12Oc1c(O)cc3c4c1[C@@H]2[C@@H](C)[C@@H](C)C[C@]1(C)[C@H]2CC[C@@]1(C)[C@@]1(C)CCC(CC(N2)C4=O)C(C)(C)[C@@H](O)CC[C@H]1CN(CC(C(=O)O)C(=O)O)C3=O
MassSpecGymID0000481,C52H70N2O11,pred_smiles_1;pred_smiles_2;pred_smiles_3;pred_smiles_4;pred_smiles_5;pred_smiles_6;pred_smiles_7;pred_smiles_8;pred_smiles_9;pred_smiles_10,CO[C@H]1/C=C\O[C@@]2(C)Oc3c(C)c(O)c4c(cc(c5c(=O)c54)N(C)C(=O)/C(C)=C\C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C)c3C[C@H]2CCC(N)=C1CCCC[C@H]1C
MassSpecGymID0000482,C52H70N2O11,pred_smiles_2;pred_smiles_3;pred_smiles_4;pred_smiles_5;pred_smiles_6;pred_smiles_7;pred_smiles_8;pred_smiles_9;pred_smiles_10,CCCC[C@@H](OC(C)=O)[C@@H](C)[C@H](C)[C@H](C)[C@@H](O)C(C)(C)C=CC=C(C)C(=O)NC1=CC2(C3CCN(C)CC3)Oc3cc(c4c5c(c(C)c(O)c4c3O)O[C@](C)(CC=C[C@@H]2OC)C5=O)C1=O
MassSpecGymID0000483,C52H70N2O11,pred_smiles_1;pred_smiles_2;pred_smiles_3;pred_smiles_4;pred_smiles_5;pred_smiles_6;pred_smiles_7;pred_smiles_8;pred_smiles_9;pred_smiles_10,CO[C@H]1C=CO[C@@]2(C)Oc3c(C)c(O)c4c(O)c5c(c(O)c4c3C2=O)C(C)=CCCC(C(C)=CC=C[C@H](C)[C@H](C)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C)N1CCCN(CC1)C5=O
MassSpecGymID0000484,C52H70N2O11,pred_smiles_2;pred_smiles_3;pred_smiles_4;pred_smiles_5;pred_smiles_6;pred_smiles_7;pred_smiles_8;pred_smiles_9;pred_smiles_10,COC1C=COC2(C)Cc3c(c(C)c(O)c4c(O)c5c6c(c34)CC1C(C)C(O)C(C)C(C)C(OC(C)=O)C(C)C(C)C(O)C(C)C=CCC=C(C)C(=O)NC(=C1CCCCN1C5)C6=O)O2
MassSpecGymID0000586,C23H25ClO6,pred_smiles_9;pred_smiles_10,CCC(C)C=Cc1ccc(C=C2OC=C(C3=COC(C)(O)OC3=O)C2C)c(O)c1Cl
MassSpecGymID0000594,C23H25ClO6,pred_smiles_10,CC=C(C#CC1=COC=C(Cl)C(=O)C23OC2(C)OC(=O)C3C1)C(O)C=CC(C)CC
MassSpecGymID0000595,C23H25ClO6,pred_smiles_9;pred_smiles_10,CCC(C)C=Cc1c2cc3c(c1Cl)OC=C(OC3=O)[C@]1(C)C(=O)C(OC(C)(C)O)C21
MassSpecGymID0000781,C29H26O10,pred_smiles_2;pred_smiles_3;pred_smiles_4;pred_smiles_5;pred_smiles_6;pred_smiles_7;pred_smiles_8;pred_smiles_9;pred_smiles_10,COc1c2c3c4c(c(=O)c5c(c6cc(OC)c5c(cc(CC(C)O)c(OC)c3c(OC)cc1=O)O6)OCO4)C2
MassSpecGymID0000782,C29H26O10,pred_smiles_5;pred_smiles_6;pred_smiles_7;pred_smiles_8;pred_smiles_9;pred_smiles_10,COc1cc2c3c(c1C(C)=O)-c1c(CC(C)O)c4c(=O)c(c(c1OC)CO3)C=C1C=C(OCO2)C(=C4)OCO1
MassSpecGymID0000783,C29H26O10,pred_smiles_7;pred_smiles_8;pred_smiles_9;pred_smiles_10,COc1c(OC)c2c(C[C@H](C)O)c(OC)c3ccc4c(OC)c3-c3c(O)c(c5c(cc(=O)c2c1O)OCO5)c34
MassSpecGymID0000784,C29H26O10,pred_smiles_5;pred_smiles_6;pred_smiles_7;pred_smiles_8;pred_smiles_9;pred_smiles_10,COc1cc2c3c4c(O)c(CC(C)O)c(=O)c(c5c4c(CC(C)O)c5c4c(OC)c4cc(=O)c2c1O)OCO3
MassSpecGymID0000785,C29H26O10,pred_smiles_6;pred_smiles_7;pred_smiles_8;pred_smiles_9;pred_smiles_10,COc1c(O)c2c(=O)cc(C[C@H](C)O)c(O)c3c(OC)cc4c5c6c(c(C[C@@H](C)O)c(c1=O)c6c5c32)OCO4
MassSpecGymID0000786,C29H26O10,pred_smiles_6;pred_smiles_7;pred_smiles_8;pred_smiles_9;pred_smiles_10,COc1cc(OC)c2c3c(O)c4c(O)c5c(=O)c6c(cc(CC(C)O)c(CC(C)O)c(c(=O)c1c63)c52)OCO4
MassSpecGymID0000787,C29H26O10,pred_smiles_6;pred_smiles_7;pred_smiles_8;pred_smiles_9;pred_smiles_10,COc1cc2c3c(OC)c1c1ccc(=O)c4c(OC)cc(O)c5c(cc(c4c(C[C@@H](C)O)c31)OCO5)OCO2
MassSpecGymID0000788,C29H26O10,pred_smiles_2;pred_smiles_3;pred_smiles_4;pred_smiles_5;pred_smiles_6;pred_smiles_7;pred_smiles_8;pred_smiles_9;pred_smiles_10,COC1=C2C3=C4COC5(CC(C)O)COc6c(c(c7c(c65)OCOC7=C1)C2C(C)=O)C(=O)C=C3C(OC)=C4O
MassSpecGymID0000819,C23H32O7,pred_smiles_9;pred_smiles_10,C=C(C(=O)OC)C(C)C1=C(C)[C@]2(C)CC[C@@](C)(O)C[C@@H](OC(C)=O)C2=C(CO)C1=O
MassSpecGymID0000822,C23H32O7,pred_smiles_10,CC(=O)OC1CC(=O)C2(OC3C4CCC5CC(O)CCC5(C)C4CCC32C)C(=O)O1
MassSpecGymID0001331,C52H70N2O11,pred_smiles_1;pred_smiles_2;pred_smiles_3;pred_smiles_4;pred_smiles_5;pred_smiles_6;pred_smiles_7;pred_smiles_8;pred_smiles_9;pred_smiles_10,CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(O)c(c5c(c4c3C2=O)CCCC5)C(C)C2=C(CC[C@@H]2C)NC(=O)/C(C)=C\C=C\[C@H](C)[C@H](C)[C@@H](O)[C@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C
MassSpecGymID0001332,C52H70N2O11,pred_smiles_2;pred_smiles_3;pred_smiles_4;pred_smiles_5;pred_smiles_6;pred_smiles_7;pred_smiles_8;pred_smiles_9;pred_smiles_10,CO[C@H]1C=CCO[C@@]2(C)Oc3c(C)c(O)c4c(O)c(c5c(c4c3C2=O)C(=C2NC(=O)C(C)=CC=C[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@@H]2C)CCCC5N2CCCC2)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C
MassSpecGymID0001333,C52H70N2O11,pred_smiles_1;pred_smiles_2;pred_smiles_3;pred_smiles_4;pred_smiles_5;pred_smiles_6;pred_smiles_7;pred_smiles_8;pred_smiles_9;pred_smiles_10,CO[C@@H]1C=CO[C@@]2(C)Oc3c(C)c(O)c4c(OC(C)=O)c5c(c(c4c3C2=O)CN(CC(C(=O)O)C2=C(C)CN2)C5)CC[C@](C)([C@@]23CC[C@H]2C(C)(C)[C@H](C)CC[C@H]3C)[C@H](O)[C@@H]1C
MassSpecGymID0001334,C52H70N2O11,pred_smiles_1;pred_smiles_2;pred_smiles_3;pred_smiles_4;pred_smiles_5;pred_smiles_6;pred_smiles_7;pred_smiles_8;pred_smiles_9;pred_smiles_10,COC1C=COC2(C)Oc3c(C)c(O)c4c(O)c(C)c5c(c4c3C2=O)CC(N2CCCC2)=C(NC(=O)/C(C)=C\C=C\C(C)C(C)C(O)C(C)C(C)C(C)C(OC(C)=O)C1C)C5=O
MassSpecGymID0001335,C52H70N2O11,pred_smiles_1;pred_smiles_2;pred_smiles_3;pred_smiles_4;pred_smiles_5;pred_smiles_6;pred_smiles_7;pred_smiles_8;pred_smiles_9;pred_smiles_10,CO[C@H]1C=CO[C@@]2(C)Oc3c(C)c(O)c4c(O)c(c5c(c4c3C2=O)C(=O)N(C(CC#N)C(=O)O)C5)C(C)=C/C=C\[C@H](C)[C@H](C)[C@H](O)[C@@H](C)[C@H](C)C(C)(C)[C@H](O)C(C)(C)[C@H](C)[C@@H]1C
MassSpecGymID0001336,C52H70N2O11,pred_smiles_1;pred_smiles_2;pred_smiles_3;pred_smiles_4;pred_smiles_5;pred_smiles_6;pred_smiles_7;pred_smiles_8;pred_smiles_9;pred_smiles_10,COc1c(O)cc2c3c4c(cc(O)c13)C(=O)N(CCCCN1C=CO[C@]23OC2C=C[C@H]2[C@H](C)[C@H](O)C(C)(C)[C@@H]2CC[C@H]3C[C@@H](CC(OC)C(=O)O)O[C@@]2(C)CC[C@H](C)C(C)(C)CCC1)C4
MassSpecGymID0001337,C52H70N2O11,pred_smiles_1;pred_smiles_2;pred_smiles_3;pred_smiles_4;pred_smiles_5;pred_smiles_6;pred_smiles_7;pred_smiles_8;pred_smiles_9;pred_smiles_10,CO[C@H]1/C=C/O[C@]2(C)CCC[C@@H]([C@H](C)[C@@H](O)[C@H](C)[C@@H](O)[C@@H](C)/C=C/C=C(C)C(=O)c3cc(O)c4c(O)c(C)c(c5c4c3CN(CCCCN3CC=CC(OC(C)=O)C3(C)C)C5)O2)[C@H]1C
MassSpecGymID0001338,C52H70N2O11,pred_smiles_1;pred_smiles_2;pred_smiles_3;pred_smiles_4;pred_smiles_5;pred_smiles_6;pred_smiles_7;pred_smiles_8;pred_smiles_9;pred_smiles_10,CO[C@H]1C=CO[C@@]2(C)Oc3c(O)cc4c(O)cc5c(c4c3C2=O)CN(CCC[C@H](C=[N+]=[N-])C(=O)O)C(=O)C(C)=CC=CC(C)(C)[C@@H](O)CC(C)(C)[C@@H](CC[C@@H](C)C[C@@H](O)[C@@H](C)CC[C@@H]1C)C5
MassSpecGymID0001340,C52H70N2O11,pred_smiles_1;pred_smiles_2;pred_smiles_3;pred_smiles_4;pred_smiles_5;pred_smiles_6;pred_smiles_7;pred_smiles_8;pred_smiles_9;pred_smiles_10,COc1c(O)cc2c3c4c5c6c(c13)O[C@@]1(CC3C7C[N+]37C)[C@@H](C[C@@H]([C@H](C)[C@H](O)C(C)(C)[C@@H](C)CC[C@]21C)C1(C)CC[C@](C)(C6=O)[C@H]5C=COC(C)(C)[C@H](O)[C@@H]1OC(C)=O)NC4=O
MassSpecGymID0001341,C52H70N2O11,pred_smiles_3;pred_smiles_4;pred_smiles_5;pred_smiles_6;pred_smiles_7;pred_smiles_8;pred_smiles_9;pred_smiles_10,COC1C=COC2(C)Oc3c(C)c(O)c4c(c(c(C)c5c(=O)c54)CCN(C)CCC=CNCC(C)C(=O)C(C)=CC=CCCC(C)C(OC(C)=O)C(C)C(O)C(C)C(O)C=C1C)c3C2=O
MassSpecGymID0001342,C52H70N2O11,pred_smiles_2;pred_smiles_3;pred_smiles_4;pred_smiles_5;pred_smiles_6;pred_smiles_7;pred_smiles_8;pred_smiles_9;pred_smiles_10,CO[C@H]1/C=C/O[C@@]2(C)OC3=C(C)C(O)=C4C(=O)C(NC=C(C)CC(C)=C=CC[C@H](C)[C@H](O)[C@@H](C)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C)NC(=C4O)C=C1C(=O)C4=C(CCCC4)CCC2=C13
MassSpecGymID0001343,C52H70N2O11,pred_smiles_1;pred_smiles_2;pred_smiles_3;pred_smiles_4;pred_smiles_5;pred_smiles_6;pred_smiles_7;pred_smiles_8;pred_smiles_9;pred_smiles_10,COC1/C=C/OC2(C)Oc3c(C)c(O)c4c(O)c5cc(c4c3C2=O)CC5(C)C(=C2CCCC2)NC(=O)C(C)=CC=CC(C)C(C)C(O)C(C)C(O)C(C)C(C)C(OC(C)=O)C1C
MassSpecGymID0001459,C37H44ClNO6,pred_smiles_3;pred_smiles_4;pred_smiles_5;pred_smiles_6;pred_smiles_7;pred_smiles_8;pred_smiles_9;pred_smiles_10,C=C(C)[C@H]1OC2CC3OC3(C)O[C@@H]3C[C@@H]1C1=C4C5=CC(=C4CCC2[C@@]3(O)[C@@]2(C)COC(C)(C)CC[C@H]12)Nc1cc(O)c(Cl)cc15
MassSpecGymID0001460,C37H44ClNO6,pred_smiles_2;pred_smiles_3;pred_smiles_4;pred_smiles_5;pred_smiles_6;pred_smiles_7;pred_smiles_8;pred_smiles_9;pred_smiles_10,C=C(C)OC1=C(Cl)C=c2[nH]c3c(c21)C1=C(C=3)CCC23CCC(CC2(O)C(C)(C)CC3)OC2OC3CC(=C)C([C@H]3O)[C@H]3O[C@H]3C[C@@H]12
MassSpecGymID0001461,C37H44ClNO6,pred_smiles_1;pred_smiles_2;pred_smiles_3;pred_smiles_4;pred_smiles_5;pred_smiles_6;pred_smiles_7;pred_smiles_8;pred_smiles_9;pred_smiles_10,C=C(C)C1OC2C34c5c([nH]c6cc(Cl)cc(c56)C3C3CCC3C(C)(C)CCC(=C)C4O)C3(O)CCC(OC23C)C1O
MassSpecGymID0001462,C37H44ClNO6,pred_smiles_1;pred_smiles_2;pred_smiles_3;pred_smiles_4;pred_smiles_5;pred_smiles_6;pred_smiles_7;pred_smiles_8;pred_smiles_9;pred_smiles_10,C=C(C)C1OC2C(=C)C3OC3C23C(=CC)C3CCC2(C)c3[nH]c4cc(Cl)c(O)cc4c3CC2C1O
MassSpecGymID0001463,C37H44ClNO6,pred_smiles_1;pred_smiles_2;pred_smiles_3;pred_smiles_4;pred_smiles_5;pred_smiles_6;pred_smiles_7;pred_smiles_8;pred_smiles_9;pred_smiles_10,C=C(C)[C@@H]1O[C@@H]2CC[C@@]34O[C@H]2[C@H]2Oc5[nH]c6cc(Cl)c7c(c6c5CC[C@@]23C)CC[C@@]2(C)O[C@H]2C[C@@H](CCC[C@@H]7C)O[C@@H]4[C@@H]1O
MassSpecGymID0001464,C37H44ClNO6,pred_smiles_3;pred_smiles_4;pred_smiles_5;pred_smiles_6;pred_smiles_7;pred_smiles_8;pred_smiles_9;pred_smiles_10,C=C(C)O[C@@H]1O[C@H]2[C@@H]3C4c5[nH]c6cc(O)c(Cl)cc6c5C[C@H]4C4CC[C@@H]5[C@@H](C(=C)C)O[C@H]5C4(C)CCC3[C@@]3(C)O[C@H]4C[C@H]1[C@@]23O4
MassSpecGymID0001465,C37H44ClNO6,pred_smiles_1;pred_smiles_2;pred_smiles_3;pred_smiles_4;pred_smiles_5;pred_smiles_6;pred_smiles_7;pred_smiles_8;pred_smiles_9;pred_smiles_10,C=C(C)O[C@H]1Cc2c3[nH]c4cc(O)cc(Cl)c2[C@H]3OC[C@]2(O)[C@H]3CC[C@@]4(C1)[C@]2(C)CCC[C@]12[C@H](C[C@@H]31)[C@H](C)O[C@H](C(=C)C)[C@@H]2O
MassSpecGymID0001466,C37H44ClNO6,pred_smiles_2;pred_smiles_3;pred_smiles_4;pred_smiles_5;pred_smiles_6;pred_smiles_7;pred_smiles_8;pred_smiles_9;pred_smiles_10,C=C1CC[C@H]2OC3[C@H]1C2=CC(C1OC1(C)C)=C(Cl)C=C1O[C@H]3Cn2c1cc1c2O[C@@]2(C)CC[C@H]1[C@H]1C[C@H]3CC[C@@]3(C)[C@H](O1)[C@@H]2O
MassSpecGymID0001467,C37H44ClNO6,pred_smiles_2;pred_smiles_3;pred_smiles_4;pred_smiles_5;pred_smiles_6;pred_smiles_7;pred_smiles_8;pred_smiles_9;pred_smiles_10,C=C(C)[C@H]1O[C@@H](C(C)=O)[C@H]2O[C@@]3(C)C4CCC5(C)OC6C7=C1CCC65[C@]1(C)CCC3[C@]4(C)[C@]2(O)[C@H](O)C12C(=CC1=CC1=C2Cl)N7
MassSpecGymID0001468,C37H44ClNO6,pred_smiles_2;pred_smiles_3;pred_smiles_4;pred_smiles_5;pred_smiles_6;pred_smiles_7;pred_smiles_8;pred_smiles_9;pred_smiles_10,C=C(C)C1CO[C@H]2C[C@H]3OC[C@@]34CC[C@@]3(O)Cc5c(cc(Cl)c6c5NC5=CC=C6[C@H]6CC[C@]6(C)O5)C4=C1[C@@]3(O)CC[C@]2(O)CC
MassSpecGymID0001469,C37H44ClNO6,pred_smiles_1;pred_smiles_2;pred_smiles_3;pred_smiles_4;pred_smiles_5;pred_smiles_6;pred_smiles_7;pred_smiles_8;pred_smiles_9;pred_smiles_10,C=C(C)C1OC(C2(O)CCC3CC4CCC5c6[nH]c7cc(O)cc(Cl)c7c6CC(=C)C5(O)C4CCC32C)C2OC2CC2OC21C
MassSpecGymID0001470,C37H44ClNO6,pred_smiles_1;pred_smiles_2;pred_smiles_3;pred_smiles_4;pred_smiles_5;pred_smiles_6;pred_smiles_7;pred_smiles_8;pred_smiles_9;pred_smiles_10,C=C(C)C1OC23COC2C2OC4C(O)C5OC56C2CCC42CCCCc4c([nH]c5ccc(Cl)c(C)c45)C6(C)CC3C2C1O
