target_smiles,target_inchi_key,num_predictions,exact_match_top1,exact_match_top10,tanimoto_top1,tanimoto_top10,tanimoto_mean,mist_tanimoto,spec_name,proposal_smiles,total_unique_generated
CC(=O)NC1CCC2=CC(=C(C(=C2C3=CC=C(C(=O)C=C13)NC(CCSC)C(=O)N4CCN(CC4)CC5=CC6=C(C=C5)OCO6)OC)OC)OC,RHYJRVWWDRGDRZ,61,0.0,0.0,0.3384615480899811,0.3384615480899811,0.17125197614497337,0.5283018946647644,MassSpecGymID0380611,CNCC(Nc1ccc2c(cc1=O)NN(SCC(=O)C(C)C)CCC2=O)C1CCc2cc(OC)c(OC)c(OC)c2C(=O)c2cc(OC)ccc21,61
CCC(CC)C1=NN=C(S1)NC(=O)CS(=O)(=O)CC2=CC=CC=C2,FSEOPJIGTIEFRA,57,1.0,1.0,1.0,1.0,0.35195184695093257,0.7272727489471436,MassSpecGymID0211487,CCC(CC)c1nnc(NC(=O)CS(=O)(=O)Cc2ccccc2)s1,57
C1CC2CCC1[C@@H]([C@H]2NC3=NC(=NC=C3F)C4=CNC5=C4C=C(C=N5)F)C(=O)O,JGPXDNKSIXAZEQ,42,1.0,1.0,1.0,1.0,0.5169637483500299,0.7580645084381104,MassSpecGymID0225773,O=C(O)C1C2CCC(CC2)C1Nc1nc(-c2c[nH]c3ncc(F)cc23)ncc1F,42
CC1=NC(=CC(=N1)NC2=CC=CC=N2)NCCNC(=O)C3=CC=C(C=C3)Cl,QDIOBBHRAVYZSK,52,0.0,0.0,0.4126984179019928,0.515625,0.23351702165718263,0.5,MassSpecGymID0212445,Cc1ncc(NC(=O)c2ccc(NCCNc3ccc(Cl)cc3)cc2)nn1,52
CC1=C2COC(=O)C2=C(C3=C1OC4(CC(C56C(OC(O5)(CC(C6(C4C3)C)O)OC)(C)C)O)C)OC,UHBMKIHOBUKYRH,49,0.0,0.0,0.2199999988079071,0.27659574151039124,0.1511778722764278,0.4749999940395355,MassSpecGymID0190113,COC(=O)CC[C@@]1(C)CC[C@](C)(CCc2c(C)c3c(c(OC)c2OC(C)=O)C(=O)[C@@H](O)C3)OC1=O,49
CC1=C(C2=C(C=C1)C(=O)C3=C(N2)CCN(C3)CC(=O)NC4=CC(=C(C=C4)F)C)C,SWWRURAYYBNSQC,26,0.0,0.0,0.8833333253860474,0.8833333253860474,0.33124639688489527,0.841269850730896,MassSpecGymID0215197,Cc1ccc(NC(=O)CN2CCc3[nH]c4c(C)c(C)ccc4c(=O)c3C2)cc1F,26
CC(CCCCC(C(CO)C(=O)OC(CCCCC(C)C/C(=C/C(=C/C(=O)O)/C)/C)C(CO)C(=O)O)O)C/C(=C/C(=C/C(=O)O)/C)/C,DQBXBQIOPVLJEV,47,0.0,0.0,0.11403508484363556,0.14678898453712463,0.09442009610381533,0.13725490868091583,MassSpecGymID0160948,CC(C)C=CC(=O)C1(C)OCC2=CCC3C4(C)CCC(O)C(O[C@H]5O[C@H](CO)[C@@H](O)[C@H](O)[C@H]5O)C(C)(CO)C4CCC3(C)C2(C)CO1,47
CC1=NN(C=C1CN2CCN3C(=NN=C3C4=CC=C(C=C4)OC)C2)C,QFRXNFCIQOTBET,50,0.0,0.0,0.25925925374031067,0.2933333218097687,0.18365093041211367,0.3333333432674408,MassSpecGymID0208288,COc1cccc(-c2ncn([C@@H]3CCN(Cc4cnn(C)c4)C3)n2)c1,50
CCC1(CCC(=O)NC1=O)C2=CC=C(C=C2)NC(=O)CCCC3=CNC4=CC=CC=C43,DKIGTEGEDFZRON,52,0.0,0.0,0.25531914830207825,0.27586206793785095,0.23420978824679667,0.3375000059604645,MassSpecGymID0218829,O=C1N(Cc2c[nH]c3ccccc23)CCC2(CCO2)CN1Cc1ccc2c(c1)OCC2,52
C=CC1C2CC3C4=C(CC(N3C(=O)C2=COC1OC5C(C(C(C(O5)CO)O)O)O)C(=O)O)C6=CC=CC=C6N4,YUCVPZILWXKQCX,44,0.0,0.0,0.28099173307418823,0.44859811663627625,0.22998436872678046,0.581632673740387,MassSpecGymID0190471,C=CC#CC1[C@H]2CN1C(=O)c1c([nH]c3ccccc13)[C@H](O)[C@@H](O)[C@H](OC)OCOCCOC(C(=O)OC)=CO2,44
