spec_name,baseline_shard,baseline_outcome_bucket,baseline_mist_tanimoto,baseline_exact_match_top1,baseline_exact_match_top10,baseline_tanimoto_top1,baseline_tanimoto_top10,oracle_exact_match_top1,oracle_exact_match_top10,oracle_tanimoto_top1,oracle_tanimoto_top10,formula_matches_collected,total_generated,total_formula_matched,generation_time,target_smiles,proposal_smiles,delta_exact_top1,delta_exact_top10,delta_tanimoto_top10
MassSpecGymID0203740,shard_012,exact_top1,0.4677419364452362,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10,93,29,8.413086175918579,C1=CC(=C(C=C1F)CS(=O)(=O)NC2=CC3=CC=NN3C=C2)F,O=S(=O)(Cc1cc(F)ccc1F)Nc1ccn2nccc2c1,0.0,0.0,0.0
MassSpecGymID0380514,shard_032,no_exact_low_tanimoto,0.5688073635101318,0.0,0.0,0.3934426307678222,0.3934426307678222,0.0,0.0,0.8222222328186035,0.8222222328186035,10,100,2,31.5365309715271,CC(=O)NC1CCC2=CC(=C(C(=C2C3=CC=C(C(=O)C=C13)NC(CCSC)C(=O)N4CCCC4C5=C(C=C(C=C5)OC)OC)OC)OC)OC,COc1ccc([C@H]2CCCN2C(=O)[C@@H](CCSC)Nc2ccc3c(cc2=O)C(C=O)CCc2cc(OC)c(OC)c(OC)c2-3)c(OC)c1,0.0,0.0,0.4287796020507813
MassSpecGymID0105109,shard_006,no_exact_low_tanimoto,0.6489361524581909,0.0,0.0,0.3220339119434356,0.3220339119434356,0.0,0.0,0.6063829660415649,0.6063829660415649,10,100,2,39.07900047302246,CCN1CC2(C(CC(C34C2C(C(C31)C5(C6C4CC(C6OC(=O)C7=CC=CC=C7)(C(C5O)OC)O)OC(=O)C)OC)OC)O)COC,CCN1C[C@]2(COC)[C@H](O)CC(OC)C34C5C(OC)[C@@]6(O)C7C(C[C@](O)(C3C7OC)[C@@H]2C(OC(=O)c2ccccc2)C14)C56,0.0,0.0,0.28434905409812933
MassSpecGymID0081883,shard_006,no_exact_medium_tanimoto,0.7283950448036194,0.0,0.0,0.5632184147834778,0.7837837934494019,0.0,0.0,0.9428571462631226,0.9428571462631226,10,76,16,16.4628164768219,CCN1CCC2(CC1)COC3=C2C=C4C(=C3)CCN4C(=O)C5=CC=C(C=C5)C6=C(C=C(C=C6)C7=NN=C(O7)C)C,CCN1CCC2(CC1)COc1cc3c(cc12)CCN3C(=O)c1ccc(-c2ccc(-c3nnc(C)o3)cc2C)cc1,0.0,0.0,0.1590733528137207
MassSpecGymID0152325,shard_008,no_exact_high_tanimoto,0.761904776096344,0.0,0.0,0.7142857313156128,0.8202247023582458,0.0,0.0,0.8539325594902039,0.8539325594902039,10,100,3,42.63212442398071,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@@H]2[C@H]([C@@H](O[C@@H]([C@H]2OC(=O)/C=C/C3=CC(=C(C=C3)O)O)CO[C@H]4[C@@H]([C@](CO4)(CO)O)O)OCCC5=CC(=C(C=C5)O)O)O)O)O)O,CC1O[C@@H](O[C@H]2C(OC(=O)C=Cc3ccc(O)c(O)c3)[C@@H](CO)OC(OCCc3ccc(O)c(O)c3)[C@H]2CO[C@@H]2OC[C@](O)(CO)C2O)C(O)[C@@H](O)[C@H]1O,0.0,0.0,0.03370785713195801
MassSpecGymID0188657,shard_010,exact_top1,0.7941176295280457,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10,100,16,4.1021728515625,CC(=O)NC1=C2C(=CSS2)N(C1=O)C,CC(=O)Nc1c2sscc-2n(C)c1=O,0.0,0.0,0.0
MassSpecGymID0162714,shard_008,no_exact_low_tanimoto,0.8352941274642944,0.0,0.0,0.3888888955116272,0.3888888955116272,0.0,0.0,0.3980582654476166,0.3980582654476166,10,73,10,18.112263202667236,C[C@H]1CC=C[C@H]2[C@H]3[C@](O3)([C@H]([C@@H]4[C@@]2(C(=O)C=CC(=O)[C@@H](C(=C1)C)O)C(=O)N[C@H]4CC5=CNC6=CC=CC=C65)C)C,CC1=CC(C)[C@]2(C)C([C@H]3C=CC(=O)N[C@@H]3Cc3c[nH]c4ccccc34)[C@H]3C=CC(=O)[C@H](O)C3[C@@H](O)C1[C@H]1O[C@H]12,0.0,0.0,0.00916936993598938
MassSpecGymID0185133,shard_009,no_exact_medium_tanimoto,0.8089887499809265,0.0,0.0,0.5199999809265137,0.5288461446762085,0.0,0.0,0.8441558480262756,0.8441558480262756,10,100,6,50.76937460899353,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@H]2[C@@H]3C=CO[C@H]([C@@H]3[C@@]4([C@H]2O4)CO)O[C@H]5[C@@H]([C@H]([C@@H]([C@H](O5)CO)O)O)O)OC(=O)/C=C/C6=CC=CC=C6)OC(=O)/C=C/C7=CC=CC=C7)O,C[C@@H]1O[C@@H](O[C@H]2[C@H]3C=CO[C@@H](O[C@@H]4O[C@H](C)[C@H](O)[C@@H](O)[C@H]4O)[C@H]3[C@]3(CO)O[C@@H]23)[C@@H](O)[C@H](OC(=O)C=Cc2ccccc2)[C@@H]1O,0.0,0.0,0.31530970335006714
MassSpecGymID0058062,shard_003,no_exact_high_tanimoto,0.8166666626930237,0.0,0.0,0.8899082541465759,0.900900900363922,0.0,0.0,0.9107142686843872,0.9107142686843872,10,100,1,57.95044708251953,CCC(C)C1C(C=CC2(O1)CC3CC(O2)CC=C(C(C(C=CC=C4COC5C4(C(C=C(C5O)C)C(=O)O3)O)C)OC6CC(C(C(O6)C)OC7CC(C(C(O7)C)NC(=O)C)OC)OC)C)C,CC[C@H](C)[C@H]1O[C@]2(C=C[C@@H]1C)C[C@@H]1C[C@@H](C/C=C(\C)[C@@H](O[C@@H]3C[C@H](OC)[C@@H](O[C@@H]4O[C@@H](C)[C@@H](NC(C)=O)[C@H]4OC)[C@H](C)O3)[C@@H](C)/C=C/C=C3CO[C@@H]4[C@H](O)C(C)=C[C@@H](C(=O)O1)[C@]34O)O2,0.0,0.0,0.009813368320465199
MassSpecGymID0018517,shard_001,exact_top1,0.9285714030265808,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10,100,16,9.208033800125122,CS(=O)(=O)C1=CC(=C(C=C1)C(=O)C2C(=O)CCCC2=O)[N+](=O)[O-],CS(=O)(=O)c1ccc(C(=O)C2C(=O)CCCC2=O)c([N+](=O)[O-])c1,0.0,0.0,0.0
