target_inchi_key,spectra,exact_top1,exact_top10,tanimoto_top10,mist_tanimoto,formula_success,bad_low_tanimoto_share,first_smiles,chem_class,cluster,tsne_x,tsne_y,pca_x,pca_y,mol_wt,exact_mol_wt,heavy_atoms,hetero_atoms,hetero_ratio,n_count,o_count,s_count,p_count,halogen_count,ring_count,aromatic_ring_count,aliphatic_ring_count,max_ring_size,macrocycle_count,rotatable_bonds,hba,hbd,tpsa,logp,fraction_csp3,chiral_centers,amide_count,ester_count,carboxyl_count,ether_count,hydroxyl_count,sulfonamide_count,phosphate_count,bertz_complexity,scaffold_heavy_atoms,scaffold_ring_count
ACWOMSOYIIVIRV,3,0.0,0.0,0.7277593413988749,0.7746050159136454,1.0,0.0,CCC(C)N1C2=CC=CC=C2C(=O)N(C3=CN=C(N=C31)NC4=C(C=C(C=C4)C(=O)N5CCC(CC5)N6CCN(CC6)C)OC)C,other_midsize,8,46.729904,-23.889421,0.7455299,0.043090504,612.7790000000001,612.353637268,45,11,0.24444444444444444,8,3,0,0,0,6,3,3,7,0,7,9,1,97.38,4.607400000000004,0.47058823529411764,1,2,0,0,1,0,0,0,1548.142793543534,37,6
ADOGPUFGFUQERC,3,0.0,0.0,0.1639387706915537,0.24804576237996415,1.0,1.0,CN1C(=O)CC(SC1=NC2=CC=C(C=C2)C(=O)OC)C(=O)NCCC3=CC=CC=C3,other_midsize,11,-17.685154,14.915923,-0.20663847,1.0396813,425.5100000000002,425.140927216,30,8,0.26666666666666666,3,4,1,0,0,3,2,1,6,0,6,6,1,88.07,2.783500000000001,0.2727272727272727,1,2,1,0,1,0,0,0,944.6148235333793,25,3
ADUZOYYYNWLSTK,3,0.0,0.0,0.1883880396684011,0.2738315959771474,1.0,1.0,CN1C=C(C=N1)C2=CN=C(N=C2)OC3CCN(CC3)C(=O)C4=CC5=C(C=C4)C(=O)N(N5C)C,aromatic_rich_polycycle,4,13.011501,3.500666,0.5729109,-0.51657087,447.49900000000025,447.20188766,33,10,0.30303030303030304,7,3,0,0,0,5,4,1,6,0,4,6,0,100.07000000000002,1.7510999999999997,0.34782608695652173,0,1,0,0,1,0,0,0,1375.5682970414507,30,5
ADZBMFGQQWPHMJ,3,0.0,0.0,0.3401738454898198,0.33911316593488056,1.0,0.6666666666666666,CNC(=O)C1=NC=CC(=C1)OC2=CC3=C(C=C2)N=C(S3)N[C@@H]4CCCC[C@H]4O,small_heteroaromatic,4,13.024697,-18.43614,0.4600462,-0.92596644,398.48800000000017,398.141261564,28,8,0.2857142857142857,4,3,1,0,0,4,3,1,6,0,5,7,3,96.37,3.5586000000000015,0.35,2,1,0,0,1,1,0,0,990.4961814885592,23,4
AECDBHGVIIRMOI,3,0.0,0.0,0.1703515201807022,0.23219373325506842,1.0,1.0,C1CN(C1)CC2CC(C2)N3C=C(C4=C(N=CN=C43)N)C5=CC(=CC=C5)OCC6=CC=CC=C6,aromatic_rich_polycycle,2,19.66801,34.865925,0.9259272,0.17434177,439.56300000000016,439.23721054799995,33,6,0.18181818181818182,5,1,0,0,0,6,4,2,6,0,7,5,1,69.2,4.916300000000004,0.3333333333333333,0,0,0,0,1,0,0,0,1258.2481554191047,32,6
AERWTVOXUHXGAE,3,0.0,0.0,0.2176115612188975,0.3160825471083322,1.0,1.0,CC1C2=NC(=C(O2)C)C(=O)NC(C3=NC(=CS3)C(=O)NC(C4=NC(=CS4)C(=O)N1)CCSC)C,cyclic_peptide_like,2,-37.14427,-4.731181,-0.43274346,0.13326499,520.6620000000003,520.102116248,34,13,0.38235294117647056,6,4,3,0,0,4,3,1,18,1,3,10,3,139.11,3.4156200000000023,0.42857142857142855,3,3,0,0,0,0,0,0,1218.932920660678,27,4
AEUAVVIPDJTEFS,9,0.0,0.0,0.30255770186583203,0.3177036576800876,0.1111111111111111,1.0,C=C(CCO)C(=O)OC[C@@H]1[C@H]([C@@H]([C@H]([C@@H](O1)OCCC(=C)C(=O)OC[C@@H]2[C@H]([C@@H]([C@H]([C@@H](O2)OCCC(=C)C(=O)OC3COC(C(C3O)O)COC(=O)C(=C)CCO)O)O)O)O)O)O,glycoside_or_sugar_rich,5,-39.720562,-37.881264,-2.3750007,-1.2224237,880.8430000000006,880.3212380520002,61,23,0.3770491803278688,0,23,0,0,0,3,0,3,6,0,23,23,10,353.65000000000003,-4.933399999999985,0.6842105263157895,14,0,4,0,9,10,0,0,1534.6721294208921,35,3
AEYRDFZNOFKAPT,3,0.0,0.0,0.2887268016735712,0.33738229672114045,1.0,1.0,CC1=C(SC(=N1)C)CN2CCN(C(=O)C2)C3=CC(=NC=C3)OC,small_heteroaromatic,2,19.145872,27.790962,1.0610785,-1.1410173,332.42900000000003,332.13069687999996,23,7,0.30434782608695654,4,2,1,0,0,3,2,1,6,0,4,6,0,58.56,2.01234,0.4375,0,1,0,0,1,0,0,0,715.8558402608472,19,3
AFOKREIUUQFDNW,3,0.0,0.0,0.331102708975474,0.3645939230918884,1.0,1.0,C1CCN(CC1)C2=C(C=C(C=C2)C(=O)NC(=S)NC3=NC=C(C=C3)Cl)[N+](=O)[O-],small_heteroaromatic,4,28.605402,-6.892605,1.2755227,-0.3702837,419.89400000000006,419.08188811599996,28,10,0.35714285714285715,5,3,1,0,1,3,2,1,6,0,4,6,2,100.4,3.7603000000000018,0.2777777777777778,0,1,0,0,0,0,0,0,900.594125560908,24,3
AFRGWGGHJYMSDU,3,0.0,0.0,0.4379117290178935,0.6495579679807028,0.6666666666666666,1.0,C[C@H]1C[C@]2([C@H]([C@H]1OC(=O)C3=CC=CC=C3)[C@H](C(=C)[C@@H](C[C@H]4[C@H](C4(C)C)/C=C(/C2=O)\C)OC(=O)C5=CC=CC=C5)OC(=O)C)OC(=O)C,other_macrocycle,1,-50.0503,-12.63749,-1.9912635,1.1043419,642.7450000000003,642.2828829240001,47,9,0.19148936170212766,0,9,0,0,0,5,2,3,11,1,6,9,0,122.27000000000004,6.074700000000006,0.4473684210526316,8,0,4,0,4,0,0,0,1607.8913542399177,35,5
AFUWQWYPPZFWCO,2,0.0,0.0,0.5813851654529572,0.4434361755847931,1.0,0.0,C1CN2CCC1[C@H](C2)NC(=O)C3=CNC4=C(C3=O)SC=C4,polycyclic_aliphatic_like,4,3.1623626,8.213953,0.08199724,0.91016537,303.387,303.104147784,21,6,0.2857142857142857,3,2,1,0,0,5,2,3,6,0,2,4,2,65.2,1.4135999999999997,0.4666666666666667,1,1,0,0,0,0,0,0,742.7018412656801,21,5
AFYIWKNGSIYXCQ,4,0.0,0.0,0.4681902751326561,0.4745877981185913,0.5,1.0,C[C@@H](C1=C[C@]2(C=C[C@H]3[C@@H]2[C@@H](OC=C3C(=O)OC)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)OC1=O)OC(=O)/C=C/C5=CC=C(C=C5)O[C@H]6[C@@H]([C@H]([C@@H]([C@H](O6)CO)O)O)O,glycoside_or_sugar_rich,5,-39.319733,-43.771484,-3.121405,-1.4651241,778.7130000000004,778.2320291240001,55,19,0.34545454545454546,0,19,0,0,0,6,1,5,6,0,11,19,8,286.89,-2.9358999999999917,0.5277777777777778,15,0,3,0,8,8,0,0,1702.2199002404104,40,6
AFYNADDZULBEJA,3,1.0,1.0,1.0,0.7424242496490479,1.0,0.0,C1=CC=C2C(=C1)C(=CC(=N2)C3=NC4=CC=CC=C4C(=C3)C(=O)O)C(=O)O,aromatic_rich_polycycle,11,-5.2953043,28.884336,0.95275474,0.42945582,344.3260000000001,344.0797068639999,26,6,0.23076923076923078,2,4,0,0,0,4,4,0,6,0,3,4,2,100.38000000000001,3.8464000000000027,0.0,0,0,0,2,0,2,0,0,1105.7518942609297,20,4
AFZFFLVORLEPPO,8,0.25,0.25,0.8618637174367905,0.9327272325754166,1.0,0.0,CC1=C(SC=N1)/C=C\C2=C(N3[C@@H]([C@H](C3=O)NC(=O)/C(=N/OC)/C4=CSC(=N4)N)SC2)C(=O)OCOC(=O)C(C)(C)C,polycyclic_aliphatic_like,4,-6.183651,-6.6913495,-0.24540035,-0.4412001,620.7350000000001,620.1181602360001,41,16,0.3902439024390244,6,7,3,0,0,4,2,2,6,0,9,14,2,175.39999999999998,2.29812,0.4,2,2,2,0,2,0,0,0,1455.2561595492787,26,4
AGBCLJAHARWNLA,7,0.0,0.0,0.48076825056757244,0.5186704652650016,0.8571428571428571,0.5714285714285714,CC1C(C(C(C(O1)OC2C(C(C(OC2OC3CC4(C(CC(C5C4(CCC5C(C)(CCC=C(C)C)O)C)O)C6(C3C(C(CC6)O)(C)C)C)C)CO)O)O)O)O)O,glycoside_or_sugar_rich,5,-49.18293,-37.091892,-4.1765723,-1.8030204,785.0250000000004,784.4972923640001,55,13,0.23636363636363636,0,13,0,0,0,6,0,6,6,0,9,13,9,218.98999999999998,2.1474000000000038,0.9523809523809523,21,0,0,0,4,9,0,0,1386.5665059134983,31,6
AGBSXNCBIWWLHD,3,0.0,0.0,0.5582728385925293,0.9333155751228333,1.0,0.0,CC(C)N1C2=C(C(=O)N([C@H]2C3=CC=C(C=C3)Cl)C4=CC(=CN(C4=O)C)Cl)N=C1C5=CN=C(N=C5OC)OC,aromatic_rich_polycycle,2,46.528954,18.844542,0.74886733,-0.926323,555.4220000000003,554.123608608,38,12,0.3157894736842105,6,4,0,0,2,5,4,1,6,0,6,7,0,104.37000000000002,4.693500000000005,0.2692307692307692,1,1,0,0,2,0,0,0,1613.4603134845254,28,5
AGFZQVNCSIRXFF,3,0.0,0.0,0.38678572575251263,0.407587726910909,1.0,0.6666666666666666,COC1=CC(=CC(=C1OC)OC)C2=NOC(=N2)C3=CC=CC=C3NC(=O)C4=CN=CC=C4,aromatic_rich_polycycle,8,26.436865,-22.06174,1.0506885,-1.1464905,432.4360000000001,432.14336974,32,9,0.28125,4,5,0,0,0,4,4,0,6,0,7,8,1,108.60000000000001,4.076700000000002,0.13043478260869565,0,1,0,0,3,0,0,0,1215.132662765931,26,4
AGHDDYJNUGRNGZ,4,0.0,0.25,0.7153549939393997,0.7626231461763382,1.0,0.0,CC1=NN(C(=O)C1=CC2=CC(=C(C=C2)O)OC)C3=NNN=N3,small_heteroaromatic,8,13.026937,-38.117947,-0.1140517,-1.3269397,300.27799999999996,300.0970882440001,22,9,0.4090909090909091,6,3,0,0,0,3,2,1,6,0,3,7,2,116.59,0.7199999999999998,0.15384615384615385,0,1,0,0,1,1,0,0,781.0780447802084,18,3
AGHURIXQDUWSKL,3,0.0,0.0,0.1614181945721308,0.24096543590227762,1.0,1.0,CC1=CC(=NN1C2=NN(C(=O)C=C2)C3CCN(CC3)S(=O)(=O)CCC4=CC=CC=C4)C,other_midsize,2,10.946677,23.014597,0.5635111,0.94265574,441.55700000000024,441.183460724,31,9,0.2903225806451613,5,3,1,0,0,4,3,1,6,0,6,5,0,90.09,2.2552399999999997,0.4090909090909091,0,0,0,0,0,0,1,0,1209.4434244792758,29,4
AGJMGGRSZQVSTF,4,0.0,0.0,0.34919651970267296,0.3972840756177902,1.0,1.0,CCN(CC)CCN(C1=NC2=CC3=C(C=C2S1)OCO3)C(=O)CN4C(=O)CCC4=O,polycyclic_aliphatic_like,4,-10.5389385,20.994637,0.16140397,0.07475623,432.50200000000035,432.1467408679999,30,10,0.3333333333333333,4,5,1,0,0,4,2,2,6,0,8,8,0,92.28,1.8487999999999998,0.5,0,3,0,0,2,0,0,0,929.9772955316713,23,4
AGKSTYPVMZODRV,8,0.75,0.75,0.8763950914144516,0.6967794671654701,1.0,0.125,C1=CC(=CC=C1CSC(=NC2=C(C=C(C=C2)Cl)Cl)CN3C=NC=N3)Cl,aromatic_rich_polycycle,2,12.549868,39.858757,0.9345789,-0.38489306,411.7450000000001,409.9926504560001,25,8,0.32,4,0,1,0,3,3,3,0,6,0,5,4,0,43.07,5.901900000000003,0.11764705882352941,0,0,0,0,0,0,0,0,864.1092897397375,22,3
AGLOKSSTUVDSHQ,3,0.0,0.0,0.2002340257167816,0.2589802145957947,1.0,1.0,CC1=CC2=C(C=C1)C=C(C(=O)N2)CCC(=O)N3CCCN(CC3)C4=NC=CC=N4,other_midsize,4,18.460922,7.7665663,0.98713285,0.17306924,391.47500000000014,391.2008250400001,29,7,0.2413793103448276,5,2,0,0,0,4,3,1,7,0,4,5,1,82.19000000000001,2.29802,0.36363636363636365,0,1,0,0,0,0,0,0,1063.7357275484953,28,4
AGOYDEPGAOXOCK,70,0.0,0.0,0.8336284654481071,0.8333983199937003,0.8285714285714286,0.0,CC[C@@H]1[C@@]([C@@H]([C@H](C(=O)[C@@H](C[C@@]([C@@H]([C@H]([C@@H]([C@H](C(=O)O1)C)O[C@H]2C[C@@]([C@H]([C@@H](O2)C)O)(C)OC)C)O[C@H]3[C@@H]([C@H](C[C@H](O3)C)N(C)C)O)(C)OC)C)C)O)(C)O,glycoside_or_sugar_rich,1,-59.5091,-22.2485,-3.2384806,-0.11344954,747.9640000000002,747.476891268,52,14,0.2692307692307692,1,13,0,0,0,3,0,3,14,1,8,14,4,182.91,2.439700000000005,0.9473684210526315,18,0,1,0,7,4,0,0,1187.5764542086656,30,3
AGVWUSXOLCAMND,2,0.0,0.0,0.3884370028972626,0.7470695376396179,0.5,1.0,CCC1=C(C2=NC1=CC3=C(C4=C([C@@](C(=C5[C@H]([C@@H](C(=CC6=NC(=C2)C(=C6C)C=C)N5)C)CCC(=O)O)C4=N3)(C(=O)OC)O)O)C)C,other_macrocycle,3,-38.217766,2.6014097,-1.1789676,-0.14381565,608.6950000000004,608.263484872,45,10,0.2222222222222222,4,6,0,0,0,6,0,6,16,1,6,9,4,153.17,5.222700000000005,0.34285714285714286,3,0,1,1,1,3,0,0,1868.8389199411608,26,6
AGXMZNFWRRKRCO,4,0.0,0.0,0.6281420588493347,0.7215478122234344,1.0,0.0,CCOC1=CC=C(C=C1)C2=C(C(=O)C3=CC=CC=C3O2)OS(=O)(=O)C4=CC=C(C=C4)Cl,aromatic_rich_polycycle,11,-5.5816965,-18.345102,-0.03545141,-0.40630788,456.90300000000013,456.043436944,31,8,0.25806451612903225,0,6,1,0,1,4,4,0,6,0,6,6,0,82.81,5.279800000000003,0.08695652173913043,0,0,0,0,1,0,0,0,1391.2087269726733,27,4
AHAVBLFKEFJGPY,3,0.0,0.0,0.33595719933509827,0.38810553153355914,0.0,1.0,CC1C(C(C(C(O1)OC2C(OC(CC2OC)OC3C(OC(CC3OC)OC4CCC5(C(C4)CCC6(C5CC(C7(C6(CCC7(C(=O)C)O)O)C)OC(=O)C8=CC=CC=C8)O)C)C)C)O)OC)O,glycoside_or_sugar_rich,1,-47.756958,-12.126184,-2.6658452,-0.16169359,935.1140000000003,934.4926009080003,66,17,0.25757575757575757,0,17,0,0,0,8,1,7,6,0,12,17,5,227.58999999999997,3.3515000000000055,0.8367346938775511,22,0,1,0,10,5,0,0,1873.1845070229049,47,8
AHFLGPTXSIRAQK,4,0.25,0.25,0.6457198485732079,0.7135642245411873,1.0,0.5,CC(C)(C)C1=CC=CC=C1OC2=C(C=CC=N2)NC(=O)NC3=CC=C(C=C3)OC(F)(F)F,aromatic_rich_polycycle,0,38.829697,-10.918913,1.1279632,-0.83566594,445.4410000000001,445.161326224,32,9,0.28125,3,3,0,0,3,3,3,0,6,0,5,4,2,72.48,6.714000000000004,0.21739130434782608,0,2,0,0,2,0,0,0,1078.0801010178666,23,3
AHJUHHDDCJQACA,2,0.0,0.0,0.46072931587696075,0.49537037312984467,1.0,0.5,COC1=C(C=C2CN(CCC2=C1)CCC3=CC=C(C=C3)N4N=C(N=N4)C5=CC(=C(C=C5NC(=O)C6=CC(=O)C7=CC=CC=C7O6)OC)OC)OC,aromatic_rich_polycycle,8,4.768635,-35.90025,0.3579523,-0.46390072,688.7410000000002,688.2645474920001,51,13,0.2549019607843137,6,7,0,0,0,7,6,1,6,0,11,11,1,143.06999999999996,5.323200000000004,0.23684210526315788,0,1,0,0,4,0,0,0,2282.3385814371477,43,7
AHMKHNVZGOQLRQ,3,0.0,0.0,0.8666666746139526,0.8486111164093018,1.0,0.0,COC1=C(C=C(C=C1)F)C2=CC(=NC=C2Cl)NC(=O)[C@@H]3CCCNC3,small_heteroaromatic,8,30.39973,-19.660814,0.4894339,-1.4334257,363.8200000000002,363.11498274800005,25,7,0.28,3,2,0,0,2,3,2,1,6,0,4,4,2,63.25,3.487800000000002,0.3333333333333333,1,1,0,0,1,0,0,0,778.9116491124805,21,3
AHNNWZOVCRQAAH,3,0.0,0.0,0.32236992319424945,0.40704014897346497,1.0,1.0,CC1=CC2=NC(=C(N2C=C1)C(=O)C(=O)C3=CC=CC=C3)C4=CC=CC=C4,aromatic_rich_polycycle,11,-3.762625,25.47412,0.98788923,0.5096496,340.38200000000006,340.121177752,26,4,0.15384615384615385,2,2,0,0,0,4,4,0,6,0,4,3,0,51.440000000000005,4.375320000000003,0.045454545454545456,0,0,0,0,0,0,0,0,1113.0683479947309,25,4
AHNXUVJUJNMRHF,2,0.0,0.0,0.1897575408220291,0.25623936951160425,1.0,1.0,CC1=CC(=CC=C1)OCCN2C3=C(C=C(C=C3)C(F)(F)F)N=C4C2=NC(=O)NC4=O,other_midsize,2,49.604546,27.794752,1.0361753,-1.0000606,416.3590000000001,416.10962500000005,30,10,0.3333333333333333,4,3,0,0,3,4,2,2,6,0,4,5,1,89.87,2.9908200000000003,0.2,0,0,0,0,1,0,0,0,1327.5542298209048,25,4
AHOIPAFUOXGGQB,1,0.0,0.0,0.3877550959587097,0.726190447807312,1.0,1.0,CCC[C@H]1C[C@@H]2CC[C@@H](O2)[C@@H](C(=O)O[C@H]([C@@H]([C@@H]3CC[C@@H](O3)[C@H](C(=O)O1)C)C)[C@H](C)[C@H]4CC[C@H](O4)C[C@@H](CCC)N(C)C)C,other_macrocycle,3,-29.786089,-8.059158,-1.6695145,0.72701555,607.873,607.444803292,43,8,0.18604651162790697,1,7,0,0,0,4,0,4,16,1,9,8,0,83.53,6.321400000000008,0.9428571428571428,13,0,2,0,5,0,0,0,897.4170853743781,28,4
AIECUUXSLHXKBY,1,0.0,0.0,0.1538461595773697,0.2083333283662796,1.0,1.0,C/C=C/C(=O)NC1=CC=C2[C@@H](CN2C(=O)O1)O,other_midsize,3,-16.690481,-4.1905484,-0.89730364,-0.060323287,236.22699999999998,236.079706864,17,6,0.35294117647058826,2,4,0,0,0,2,0,2,7,0,2,4,2,78.87,0.23070000000000013,0.2727272727272727,1,2,1,0,1,1,0,0,450.3877840096613,10,2
AIFQGBJZIGNMCC,3,0.0,0.0,0.24503904581069944,0.25672878324985504,1.0,1.0,CCC1=CC(=CS1)C(=O)N/N=C\C2=C(NC3=CC=CC=C32)C,aromatic_rich_polycycle,11,-7.776263,26.869305,0.3785143,0.49540776,311.4100000000001,311.109233164,22,5,0.22727272727272727,3,1,1,0,0,3,3,0,6,0,4,3,2,57.25,3.8641200000000016,0.17647058823529413,0,1,0,0,0,0,0,0,844.5863319910889,19,3
AIGRXSNSLVJMEA,8,1.0,1.0,1.0,1.0,1.0,0.0,CCOP(=S)(C1=CC=CC=C1)OC2=CC=C(C=C2)[N+](=O)[O-],small_heteroaromatic,11,-2.711501,-20.739159,-0.10376687,0.37407008,323.31000000000006,323.03811555799996,21,7,0.3333333333333333,1,4,1,1,0,2,2,0,6,0,6,5,0,61.599999999999994,3.645100000000003,0.14285714285714285,1,0,0,0,0,0,0,0,660.4340420045148,15,2
AILPXCDEDGHWQC,3,0.3333333333333333,0.3333333333333333,0.48360806206862134,0.452711080511411,1.0,0.6666666666666666,CC(C)(C)OC(=O)NC1=CC=C(C=C1)NC2=NC=NC3=C2C(=CC(=C3)OCCOC)F,aromatic_rich_polycycle,0,39.10624,-10.565309,0.65195644,-1.7528667,428.4640000000003,428.18598349999996,31,9,0.2903225806451613,4,4,0,0,1,3,3,0,6,0,7,7,2,94.60000000000001,4.884700000000003,0.3181818181818182,0,1,1,0,3,0,0,0,1051.8005234253603,17,3
AINLQMYUCLAXPC,1,0.0,0.0,0.625,0.6153846383094788,1.0,0.0,CC1=CC(=CC(=C1)NC2=NC(=NC(=N2)NC3=CC(=C(C=C3)F)Cl)N4CCOCC4)C,aromatic_rich_polycycle,2,30.96906,42.235527,1.7168438,-0.9367319,428.8990000000002,428.15276522399995,30,9,0.3,6,1,0,0,2,4,3,1,6,0,5,7,2,75.2,4.604740000000002,0.2857142857142857,0,0,0,0,1,0,0,0,1037.4117356569652,26,4
AINOADYFTSGHBU,3,0.0,0.0,0.4224664320548375,0.4422198683023453,1.0,0.6666666666666666,CCC1=CC2=C(C=C1)N=C(C=C2C(=O)NCC3=CC=CO3)C4=CC(=CC=C4)OC,aromatic_rich_polycycle,8,18.997309,-22.260714,0.75553143,-0.704385,386.45100000000014,386.16304256399997,29,5,0.1724137931034483,2,3,0,0,0,4,4,0,6,0,6,4,1,64.36,4.9958000000000045,0.16666666666666666,0,1,0,0,1,0,0,0,1150.2294845596857,25,4
AIWJVLQNYNCDSL,3,0.3333333333333333,0.3333333333333333,0.49489361544450117,0.47475268443425495,1.0,0.6666666666666666,CN(C)CC1=CC=C(C=C1)C2=C3N=CC=C(N3N=C2)C4=CC(=CC=C4)NC(=O)C5=CC(=CC=C5)C(F)(F)F,aromatic_rich_polycycle,0,33.692444,-3.4333262,1.6377211,-0.6265722,515.5390000000002,515.193295048,38,9,0.23684210526315788,5,1,0,0,3,5,5,0,6,0,6,4,1,62.53000000000001,6.396000000000004,0.13793103448275862,0,1,0,0,0,0,0,0,1607.1784457863127,30,5
