example_type,shard,spec_name,chem_class,cluster,exact_match_top10,tanimoto_top10,mist_tanimoto,formula_success,mol_wt,heavy_atoms,ring_count,max_ring_size,amide_count,ester_count,chiral_centers,target_smiles,proposal_smiles,top_prediction_smiles
worst_shard_low_tanimoto,shard_031,MassSpecGymID0372967,large_peptide_like,4,0.0,0.0973451361060142,0.079207919538021,True,602.7110000000001,41,1,5,5,3,4,CC(C)CC(C(=O)N1CCCC1C(=O)NC(CS)C(=O)NC(CC(=O)N)C(=O)OC(=O)OC(C)(C)C)NC(=O)CN,O=C1CCCCCCCN(O)C(=O)C2(CC(=O)NC2S(=O)(=O)O)NCCCCCCCN1,"['O=C1CCCCCCCN(O)C(=O)C2(CC(=O)NC2S(=O)(=O)O)NCCCCCCCN1', 'O=C1CCCNC(=O)CCN(C(=O)N2C[C@H](S(=O)(=O)O)CCC2=O)CCCCCCCN1', 'CC1=CC(C)CCC(=O)N(O)CCCCCCCNC(=O)CC(=O)n2c(=O)n(n2S(=O)(=O)O)CCCCCNC1=O', 'O=C1CCC2(CNCCCCCCCCCN1)CN(NS(=O)(=O)O)C2N1C(=O)CCC1=O', 'N=C1CCC(=O)N(O)CC(=O)NCCCCCCCCCCCCC1=O']"
worst_shard_low_tanimoto,shard_033,MassSpecGymID0383376,other_macrocycle,8,0.0,0.0987654328346252,0.1264367848634719,False,899.0499999999997,62,7,18,0,0,2,CC1C2=CC(=C(C=C2CCN1S(=O)(=O)C3=CC4=C(C=C3)OCCOCCOC5=C(C=C(C=C5)S(=O)(=O)N6CCC7=CC(=C(C=C7C6C)OC)OC)OCCOCCO4)OC)OC,Cc1cc2c(C(C)C)c(C=NCCCS(=O)(=O)O)c(O)c(S(=O)(=O)O)c2cc1C,"['Cc1cc2c(C(C)C)c(C=NCCCS(=O)(=O)O)c(O)c(S(=O)(=O)O)c2cc1C', 'CC(C)c1c(O)c(O)cc(O)c1/C=N/CCCS(=O)(=O)O', 'Cc1cc(C(C)C)c2c(O)c(-c3c(C)cc(S(=O)(=O)O)c(O)c3/C=N/CCS(=O)(=O)O)c(O)c(C(C)C)c2c1', 'Cc1cc2c(O)c(C(C)C)c(O)c-2c(O)c(C=NCCCS(=O)(=O)O)c1C=NC(C)C', 'CN=Cc1cc(C)c(-c2c(O)c(O)c(C(C)C)c3c4c(C=NCCCS(=O)(=O)O)c(O)c(C(C)C)c-4cc(O)c(O)c23)c(C)c1O']"
worst_shard_low_tanimoto,shard_034,MassSpecGymID0397948,aromatic_rich_polycycle,8,0.0,0.0989011004567146,0.1098901107907295,True,550.728,36,3,6,0,0,1,COC1=CC(=CC(=C1OC)OC)C(CC2=C(C(=C(C(=C2SC)O)SC)SC)O)C3=CN=C(N=C3N)N,CC[C@]12CCCN1C(=O)[C@@H]2C(=O)Nc1nc2ccc(S(=O)(=O)N3CCCC(=O)[C@]3(C)CC)cc2s1,"['CC[C@]12CCCN1C(=O)[C@@H]2C(=O)Nc1nc2ccc(S(=O)(=O)N3CCCC(=O)[C@]3(C)CC)cc2s1', 'CC[C@]1(C(=O)Nc2nc3ccc(S(=O)(=O)N4CCC(=O)[C@@]4(C)CC)cc3s2)C[C@@H]1N1CCCC1=O', 'CCC1(C)CCCN1S(=O)(=O)c1ccc2nc(C(N)=O)sc2c1', 'CC1(O)CCC(NC(=O)c2nc3ccc(S(=O)(=O)N4CCC5N4CCCC5(C)C)cc3s2)=NC1=O', 'CCC1(C)SN(S(=O)(=O)c2ccc3nc(NC(=O)C45CN4CC(=O)C5(C)CC)sc3c2)CCCC1=O']"
worst_shard_low_tanimoto,shard_033,MassSpecGymID0383361,other_macrocycle,8,0.0,0.1011235937476158,0.1573033779859542,False,899.0499999999997,62,7,18,0,0,2,CC1C2=CC(=C(C=C2CCN1S(=O)(=O)C3=CC4=C(C=C3)OCCOCCOC5=C(C=C(C=C5)S(=O)(=O)N6CCC7=CC(=C(C=C7C6C)OC)OC)OCCOCCO4)OC)OC,Cc1cc2c(O)c(C(C)C)c(C=NCCCS(=O)(=O)O)c(O)c2c(O)c1C,"['Cc1cc2c(O)c(C(C)C)c(C=NCCCS(=O)(=O)O)c(O)c2c(O)c1C', 'Cc1c(O)cccccc2c(O)c(C=NCCCS(=O)(=O)O)c(C(C)C)c(O)c2c1O', 'Cc1cc(O)c(C=NCCCCS(=O)(=O)O)c(C(C)C)c1C', 'Cc1cc(C(C)C)c(O)c(C)c1/C=N/CCCS(=O)(=O)O', 'Cc1cc(C)c(-c2c(C)cc3cc(O)c(/C=N/CCCS(=O)(=O)O)c(O)c3c2O)c(C)c1O']"
worst_shard_low_tanimoto,shard_034,MassSpecGymID0397613,other_midsize,3,0.0,0.1018518507480621,0.1460674107074737,True,453.53900000000016,33,2,6,4,0,4,C/C=C/C=C/C(=O)N[C@@H](CC(=O)N[C@@H](C(C)C)C(=O)[C@H]1[C@@H](C(=O)NC1=O)C)C2=CC=CC=C2,COc1cc2c3c(c1)OCCN(C)[C@@]3(C)[C@@]1(CCC(=O)N(Cc3ccc(C)o3)C1=O)[C@@H](C)N2,"['COc1cc2c3c(c1)OCCN(C)[C@@]3(C)[C@@]1(CCC(=O)N(Cc3ccc(C)o3)C1=O)[C@@H](C)N2', 'COc1cc2c3c(c1)[C@]1(N[C@]1(C)[C@@H](C)CCN(C)CCO2)C(=O)N(Cc1ccc(C)o1)C3=O', 'COc1cc2c3c(c1)OCCC(C)(C1(C)C(=O)N(Cc4ccc(C)o4)C(=O)C1C)N3C(C)N2', 'COc1cc2c3c(c1)OCC(C)C3(C)C(=O)N(CC1(C)CCN1Cc1ccc(C)o1)C(=O)N2', 'COc1cc2c3c(c1)OCCN3C(=O)CC(C)N(Cc1ccc(C)o1)C(=O)C1(CC1)C(C)N2']"
worst_shard_low_tanimoto,shard_033,MassSpecGymID0383365,other_macrocycle,8,0.0,0.1022727265954017,0.1648351699113845,False,899.0499999999997,62,7,18,0,0,2,CC1C2=CC(=C(C=C2CCN1S(=O)(=O)C3=CC4=C(C=C3)OCCOCCOC5=C(C=C(C=C5)S(=O)(=O)N6CCC7=CC(=C(C=C7C6C)OC)OC)OCCOCCO4)OC)OC,CCc1c(C)cc2c(O)c(O)c(/C=N/CCCS(=O)(=O)O)c(C(C)C)c2c1O,"['CCc1c(C)cc2c(O)c(O)c(/C=N/CCCS(=O)(=O)O)c(C(C)C)c2c1O', 'Cc1cc2c(C(C)C)c(O)cc(O)c2c(=O)c(/C=N\\CCS(=O)(=O)O)c1C(C)C', 'Cc1cc(C)c2c(O)c(C(C)C)c(O)c(/C=N/CCCS(=O)(=O)O)c2c1', 'Cc1cc2c(O)c3c(O)c(C=NCCCCS(=O)(=O)O)c2c(O)c13', 'Cc1cc(=O)c2c(O)c(C=NCCCS(=O)(=O)O)c(O)cc(O)c-2c1C(C)C']"
worst_shard_low_tanimoto,shard_033,MassSpecGymID0383370,other_macrocycle,8,0.0,0.1022727265954017,0.1046511605381965,False,899.0499999999997,62,7,18,0,0,2,CC1C2=CC(=C(C=C2CCN1S(=O)(=O)C3=CC4=C(C=C3)OCCOCCOC5=C(C=C(C=C5)S(=O)(=O)N6CCC7=CC(=C(C=C7C6C)OC)OC)OCCOCCO4)OC)OC,Cc1c(O)cc(O)c2c(O)c(C=NCCCS(=O)(=O)O)c(O)c(C(C)C)c12,"['Cc1c(O)cc(O)c2c(O)c(C=NCCCS(=O)(=O)O)c(O)c(C(C)C)c12', 'CCCCS(=O)(=O)CCCN=Cc1c(C)cc(O)c(O)c(O)c(C(C)C)c(O)cc1O', 'Cc1cc(O)c2cc(C=NCCCS(=O)(=O)O)c(O)c(C(C)C)c2c1', 'Cc1cc(O)c(C(C)C)c(O)c1-c1c(C)cc2c(C(C)C)c(O)c(/C=N/CCC(c3cc(C)c4c(C(C)C)c(O)c(O)c(/C=N/CCCCS(=O)(=O)O)c(O)c3-4)S(=O)(=O)O)c3c(O)ccc(O)c3c1-2', 'Cc1cc(/C=N/CCS(=O)(=O)O)c(O)c(C(C)C)c1C']"
worst_shard_low_tanimoto,shard_033,MassSpecGymID0383378,other_macrocycle,8,0.0,0.1034482792019844,0.1123595535755157,False,899.0499999999997,62,7,18,0,0,2,CC1C2=CC(=C(C=C2CCN1S(=O)(=O)C3=CC4=C(C=C3)OCCOCCOC5=C(C=C(C=C5)S(=O)(=O)N6CCC7=CC(=C(C=C7C6C)OC)OC)OCCOCCO4)OC)OC,Cc1cc(C)c2c(C(C)C)c(-c3c(C)cc4c(O)c(C(C)C)c(O)c(/C=N/C/C=N/CCCS(=O)(=O)O)c4c3O)c(C)cc2c1,"['Cc1cc(C)c2c(C(C)C)c(-c3c(C)cc4c(O)c(C(C)C)c(O)c(/C=N/C/C=N/CCCS(=O)(=O)O)c4c3O)c(C)cc2c1', 'Cc1cc(O)c2c(C(C)C)c(O)c(C=NCCCS(=O)(=O)O)c(C(C)C)c2c1', 'Cc1cc(O)c(C(C)C)c2c(O)c(/C=N/CCCS(=O)(=O)O)c(O)cc12', 'Cc1cc2c(C(C)C)c(O)c(/C=N/CCCS(=O)(=O)O)cc2c(O)c1O', 'Cc1cc2c(C(C)C)c3c(/C=N/CCCS(=O)(=O)O)c(C(C)C)c(O)c-3c(O)cc2c(O)c1O']"
worst_shard_low_tanimoto,shard_033,MassSpecGymID0383386,other_macrocycle,8,0.0,0.1034482792019844,0.1020408198237419,False,899.0499999999997,62,7,18,0,0,2,CC1C2=CC(=C(C=C2CCN1S(=O)(=O)C3=CC4=C(C=C3)OCCOCCOC5=C(C=C(C=C5)S(=O)(=O)N6CCC7=CC(=C(C=C7C6C)OC)OC)OCCOCCO4)OC)OC,Cc1cc(C(=O)O)c2c(O)c(C(C)C)c(/C=N/CCCS(=O)(=O)O)c(C(C)C)c2c1,"['Cc1cc(C(=O)O)c2c(O)c(C(C)C)c(/C=N/CCCS(=O)(=O)O)c(C(C)C)c2c1', 'Cc1ccc2c(O)c(C=NCCCS(=O)(=O)O)c(O)c(C(C)C)c2c1', 'Cc1cc2c(C(C)C)c(O)c(O)c-2c(O)c(O)c1/C=N/CCS(=O)(=O)O', 'Cc1cc2c(C)c(-c3c(C)cc(O)c(/C=N/CCS(=O)(=O)O)c3C(C)C)c(O)c-2c(C(=O)O)cc1O', '[2H]C([2H])c1c(O)c(C(=O)O)cc(C)c1-c1c(O)c(O)c(C=NCCCS(=O)(=O)O)c(C(C)C)c1-c1c(C)cc(C)c(C=NS(=O)(=O)O)c1O']"
worst_shard_low_tanimoto,shard_034,MassSpecGymID0397892,other_macrocycle,3,0.0,0.1037735864520073,0.1047619059681892,True,566.8230000000002,41,6,22,0,0,4,CCCC[C@H]1CCCCC[C@H](C2=CC(=O)C(=C(C2=O)O)[C@H](CCCCC[C@H](C3=CC(=C1C(=C3)O)O)C)CCCC)C,CC1(C)CC[C@]2(C)[C@H](OC(=O)c3ccccc3)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](OO)[C@H](O)[C@@H]5CC[C@]43C)[C@@H]2C1,"['CC1(C)CC[C@]2(C)[C@H](OC(=O)c3ccccc3)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](OO)[C@H](O)[C@@H]5CC[C@]43C)[C@@H]2C1', 'CC1(C)CCC2C3=CCC4[C@@]5(C)CCC6C(C)(C)[C@@H](OC(=O)COC(=O)O)CC[C@]6(C)C5CC[C@@]4(C)C3CC2C1', 'CC(=O)C1=CCC(C)(C)C2CCC[C@@H]3[C@@]4(C)CC[C@H](OC(=O)C5(C(=O)O)CC5)C(C)(C)[C@@H]4CC[C@@]3(C)[C@]2(C)CC1', 'CC(=O)C1=CC[C@]2(C)C(=CC[C@@H]3[C@@]4(C)CC[C@H](OC(=O)CC(C)=C(C)O)C(C)(C)[C@@H]4CC[C@@]3(C)[C@@H]2CCO)C1', 'CCC(=O)OCC(=O)O[C@H]1CC[C@@]2(C)C(CC[C@]3(C)[C@@H]2CC=C2[C@H]4CC5(C)CCC(O)=C[C@]4(C)C5[C@]23C)C1(C)C']"
worst_shard_low_tanimoto,shard_033,MassSpecGymID0383369,other_macrocycle,8,0.0,0.1046511605381965,0.1123595535755157,False,899.0499999999997,62,7,18,0,0,2,CC1C2=CC(=C(C=C2CCN1S(=O)(=O)C3=CC4=C(C=C3)OCCOCCOC5=C(C=C(C=C5)S(=O)(=O)N6CCC7=CC(=C(C=C7C6C)OC)OC)OCCOCCO4)OC)OC,Cc1cc2c(C(C)C)c(O)c(C=NCCCCS(=O)(=O)O)cc2c(O)c1-c1c(O)cc2c(O)cccc2c1O,"['Cc1cc2c(C(C)C)c(O)c(C=NCCCCS(=O)(=O)O)cc2c(O)c1-c1c(O)cc2c(O)cccc2c1O', 'Cc1cc(O)c2c(/C=N/CCCS(=O)(=O)O)c(O)c(C(C)C)cc2c1', 'Cc1cc2c(O)c(-c3c(O)c(C(C)C)c(O)c(C=NCCCS(=O)(=O)O)c3-c3c(O)cc4c(OC(C)C)c(O)c(C(C)C)c(O)c4c3/C=N/CCCS(=O)(=O)O)c(O)cc2c(O)c1C(C)C', 'Cc1cc2cccc(O)c2c(O)c1C=NCCCCS(=O)(=O)O', 'Cc1cc(O)c2c(O)c(C(C)C)c(C)c-2c(C=NCCS(=O)(=O)O)c1O']"
worst_shard_low_tanimoto,shard_033,MassSpecGymID0383420,other_macrocycle,8,0.0,0.1046511605381965,0.1041666641831398,False,899.0499999999997,62,7,18,0,0,2,CC1C2=CC(=C(C=C2CCN1S(=O)(=O)C3=CC4=C(C=C3)OCCOCCOC5=C(C=C(C=C5)S(=O)(=O)N6CCC7=CC(=C(C=C7C6C)OC)OC)OCCOCCO4)OC)OC,Cc1ccc2c(C(C)C)c(O)c3c(C=NCCCS(=O)(=O)O)c3c12,"['Cc1ccc2c(C(C)C)c(O)c3c(C=NCCCS(=O)(=O)O)c3c12', 'Cc1ccc(O)c(C(C)C)c(O)c(/C=N/CCCS(=O)(=O)O)c(O)c(C(=O)O)c1', 'Cc1cccc(-c2c(C(C)C)c(O)c3c(O)c(C=NCCCS(=O)(=O)O)c(O)cc3c2O)c1O', 'CCC/N=C/c1c(O)c(O)cc2cc(C)c(-c3c(C)cc4c(C(C)C)c(O)c(O)c(S(=O)(=O)O)c4c3O)c-2c1O', 'CCc1cc(C)cc2c(O)c(-c3c(C)cc4c(O)c(C=NCCS(=O)(=O)O)c(O)c(C(C)C)c4c3O)c(O)cc12']"
worst_shard_low_tanimoto,shard_033,MassSpecGymID0383377,other_macrocycle,8,0.0,0.1046511605381965,0.1022727265954017,True,899.0499999999997,62,7,18,0,0,2,CC1C2=CC(=C(C=C2CCN1S(=O)(=O)C3=CC4=C(C=C3)OCCOCCOC5=C(C=C(C=C5)S(=O)(=O)N6CCC7=CC(=C(C=C7C6C)OC)OC)OCCOCCO4)OC)OC,Cc1cccc(O)c1-c1c(C)cc2c(C(C)C)c(O)c(C=NCCS(=O)(=O)O)c(O)c2c1O,"['Cc1cccc(O)c1-c1c(C)cc2c(C(C)C)c(O)c(C=NCCS(=O)(=O)O)c(O)c2c1O', 'Cc1cc(O)c2c(C(C)C)c(/C=N/CCS(=O)(=O)O)c(O)c(C(C)C)c2c1', 'Cc1cc2c(O)c(C(C)C)ccc2c(C=NCCCS(=O)(=O)O)c1O', 'CC(C)c1c(O)c(C=NCCCS(=O)(=O)O)c2cc(O)ccc2c1O', 'Cc1cc(O)c2c(C=NCC(O)S(=O)(=O)O)c(O)c(O)c(C(C)C)c2c1']"
worst_shard_low_tanimoto,shard_033,MassSpecGymID0383400,other_macrocycle,8,0.0,0.1047619059681892,0.1099999994039535,False,899.0499999999997,62,7,18,0,0,2,CC1C2=CC(=C(C=C2CCN1S(=O)(=O)C3=CC4=C(C=C3)OCCOCCOC5=C(C=C(C=C5)S(=O)(=O)N6CCC7=CC(=C(C=C7C6C)OC)OC)OCCOCCO4)OC)OC,Cc1cc2c(C(=O)O)c(O)c(C)c(/C=N\CCCS(=O)(=O)O)c(C)c-2c(=O)c1C(C)C,"['Cc1cc2c(C(=O)O)c(O)c(C)c(/C=N\\CCCS(=O)(=O)O)c(C)c-2c(=O)c1C(C)C', 'Cc1cc2c(O)c3c(O)c(C(C)C)c(C)c(C=NCCCS(=O)(=O)O)c3c(O)c2c(O)c1C', 'Cc1cc2c(C(C)C)c3c(C)c(C=NCCS(=O)(=O)O)cc(C)c(O)c3c(O)c2c1C(=O)O', 'Cc1cc2c(C(C)C)c(C(C)C)c(O)c(C)c2c(=O)c2c1C(/C=N/CCS(=O)(=O)O)=C2O', 'Cc1cc2c(C(=O)O)c(C(C)C)c(C)c(/C=N/CCS(=O)(=O)O)c2c(C(C)C)c1C']"
