name	split
MassSpecGymID0000315	ignore
MassSpecGymID0000316	ignore
MassSpecGymID0000317	ignore
MassSpecGymID0000318	ignore
MassSpecGymID0000319	ignore
MassSpecGymID0000320	ignore
MassSpecGymID0000321	ignore
MassSpecGymID0000322	ignore
MassSpecGymID0000323	ignore
MassSpecGymID0000324	ignore
MassSpecGymID0000325	ignore
MassSpecGymID0000326	ignore
MassSpecGymID0000328	ignore
MassSpecGymID0000329	ignore
MassSpecGymID0000330	ignore
MassSpecGymID0000331	ignore
MassSpecGymID0000332	ignore
MassSpecGymID0000333	ignore
MassSpecGymID0000335	ignore
MassSpecGymID0000336	ignore
MassSpecGymID0000337	ignore
MassSpecGymID0000338	ignore
MassSpecGymID0000339	ignore
MassSpecGymID0000340	ignore
MassSpecGymID0000342	ignore
MassSpecGymID0000343	ignore
MassSpecGymID0000345	ignore
MassSpecGymID0000346	ignore
MassSpecGymID0000347	ignore
MassSpecGymID0000348	ignore
MassSpecGymID0000349	ignore
MassSpecGymID0000350	ignore
MassSpecGymID0000351	ignore
MassSpecGymID0000352	ignore
MassSpecGymID0000353	ignore
MassSpecGymID0000354	ignore
MassSpecGymID0000355	ignore
MassSpecGymID0000356	ignore
MassSpecGymID0000358	ignore
MassSpecGymID0000359	ignore
MassSpecGymID0000360	ignore
MassSpecGymID0000361	ignore
MassSpecGymID0000362	ignore
MassSpecGymID0000363	ignore
MassSpecGymID0000364	ignore
MassSpecGymID0000365	ignore
MassSpecGymID0000366	ignore
MassSpecGymID0000367	ignore
MassSpecGymID0000368	ignore
MassSpecGymID0000369	ignore
MassSpecGymID0000370	ignore
MassSpecGymID0000371	ignore
MassSpecGymID0000372	ignore
MassSpecGymID0000373	ignore
MassSpecGymID0000374	ignore
MassSpecGymID0000375	ignore
MassSpecGymID0000376	ignore
MassSpecGymID0000377	ignore
MassSpecGymID0000378	ignore
MassSpecGymID0000379	ignore
MassSpecGymID0000380	ignore
MassSpecGymID0000381	ignore
MassSpecGymID0000382	ignore
MassSpecGymID0000383	ignore
MassSpecGymID0000385	ignore
MassSpecGymID0000386	ignore
MassSpecGymID0000387	ignore
MassSpecGymID0000388	ignore
MassSpecGymID0000390	ignore
MassSpecGymID0000391	ignore
MassSpecGymID0000392	ignore
MassSpecGymID0000393	ignore
MassSpecGymID0000394	ignore
MassSpecGymID0000395	ignore
MassSpecGymID0000396	ignore
MassSpecGymID0000397	ignore
MassSpecGymID0000398	ignore
MassSpecGymID0000399	ignore
MassSpecGymID0000400	ignore
MassSpecGymID0000401	ignore
MassSpecGymID0000402	ignore
MassSpecGymID0000403	ignore
MassSpecGymID0000405	ignore
MassSpecGymID0000406	ignore
MassSpecGymID0000407	ignore
MassSpecGymID0000408	ignore
MassSpecGymID0000410	ignore
MassSpecGymID0000411	ignore
MassSpecGymID0000412	ignore
MassSpecGymID0000415	ignore
MassSpecGymID0000416	ignore
MassSpecGymID0000417	ignore
MassSpecGymID0000418	ignore
MassSpecGymID0000420	ignore
MassSpecGymID0000421	ignore
MassSpecGymID0000423	ignore
MassSpecGymID0000424	ignore
MassSpecGymID0000425	ignore
MassSpecGymID0000426	ignore
MassSpecGymID0000427	ignore
MassSpecGymID0000428	ignore
MassSpecGymID0000429	ignore
MassSpecGymID0000430	ignore
MassSpecGymID0000431	ignore
MassSpecGymID0000432	ignore
MassSpecGymID0000433	ignore
MassSpecGymID0000434	ignore
MassSpecGymID0000435	ignore
MassSpecGymID0000436	ignore
MassSpecGymID0000438	ignore
MassSpecGymID0000439	ignore
MassSpecGymID0000440	ignore
MassSpecGymID0000441	ignore
MassSpecGymID0000442	ignore
MassSpecGymID0000443	ignore
MassSpecGymID0000446	ignore
MassSpecGymID0000447	ignore
MassSpecGymID0000448	ignore
MassSpecGymID0000449	ignore
MassSpecGymID0000450	ignore
MassSpecGymID0000451	ignore
MassSpecGymID0000452	ignore
MassSpecGymID0000453	ignore
MassSpecGymID0000454	ignore
MassSpecGymID0000455	ignore
MassSpecGymID0000456	ignore
MassSpecGymID0000457	ignore
MassSpecGymID0000458	ignore
MassSpecGymID0000459	ignore
MassSpecGymID0000460	ignore
MassSpecGymID0000461	ignore
MassSpecGymID0000462	ignore
MassSpecGymID0000463	ignore
MassSpecGymID0000464	ignore
MassSpecGymID0000465	ignore
MassSpecGymID0000466	ignore
MassSpecGymID0000467	ignore
MassSpecGymID0000468	ignore
MassSpecGymID0000469	ignore
MassSpecGymID0000470	ignore
MassSpecGymID0000471	ignore
MassSpecGymID0000472	ignore
MassSpecGymID0000473	ignore
MassSpecGymID0000474	ignore
MassSpecGymID0000475	ignore
MassSpecGymID0000476	ignore
MassSpecGymID0000477	ignore
MassSpecGymID0000478	ignore
MassSpecGymID0000479	ignore
MassSpecGymID0000481	ignore
MassSpecGymID0000482	ignore
MassSpecGymID0000483	ignore
MassSpecGymID0000484	ignore
MassSpecGymID0000486	ignore
MassSpecGymID0000487	ignore
MassSpecGymID0000488	ignore
MassSpecGymID0000489	ignore
MassSpecGymID0000490	ignore
MassSpecGymID0000491	ignore
MassSpecGymID0000492	ignore
MassSpecGymID0000493	ignore
MassSpecGymID0000494	ignore
MassSpecGymID0000495	ignore
MassSpecGymID0000496	ignore
MassSpecGymID0000497	ignore
MassSpecGymID0000498	ignore
MassSpecGymID0000499	ignore
MassSpecGymID0000500	ignore
MassSpecGymID0000501	ignore
MassSpecGymID0000502	ignore
MassSpecGymID0000503	ignore
MassSpecGymID0000504	ignore
MassSpecGymID0000505	ignore
MassSpecGymID0000506	ignore
MassSpecGymID0000508	ignore
MassSpecGymID0000509	ignore
MassSpecGymID0000510	ignore
MassSpecGymID0000511	ignore
MassSpecGymID0000512	ignore
MassSpecGymID0000513	ignore
MassSpecGymID0000514	ignore
MassSpecGymID0000515	ignore
MassSpecGymID0000516	ignore
MassSpecGymID0000517	ignore
MassSpecGymID0000518	ignore
MassSpecGymID0000519	ignore
MassSpecGymID0000520	ignore
MassSpecGymID0000521	ignore
MassSpecGymID0000522	ignore
MassSpecGymID0000523	ignore
MassSpecGymID0000524	ignore
MassSpecGymID0000525	ignore
MassSpecGymID0000526	ignore
MassSpecGymID0000527	ignore
MassSpecGymID0000528	ignore
MassSpecGymID0000529	ignore
MassSpecGymID0000530	ignore
MassSpecGymID0000531	ignore
MassSpecGymID0000532	ignore
MassSpecGymID0000533	ignore
MassSpecGymID0000534	ignore
MassSpecGymID0000535	ignore
MassSpecGymID0000536	ignore
MassSpecGymID0000537	ignore
MassSpecGymID0000538	ignore
MassSpecGymID0000539	ignore
MassSpecGymID0000540	ignore
MassSpecGymID0000541	ignore
MassSpecGymID0000542	ignore
MassSpecGymID0000566	ignore
MassSpecGymID0000568	ignore
MassSpecGymID0000570	ignore
MassSpecGymID0000571	ignore
MassSpecGymID0000572	ignore
MassSpecGymID0000573	ignore
MassSpecGymID0000576	ignore
MassSpecGymID0000577	ignore
MassSpecGymID0000579	ignore
MassSpecGymID0000580	ignore
MassSpecGymID0000581	ignore
MassSpecGymID0000582	ignore
MassSpecGymID0000583	ignore
MassSpecGymID0000584	ignore
MassSpecGymID0000586	ignore
MassSpecGymID0000587	ignore
MassSpecGymID0000588	ignore
MassSpecGymID0000589	ignore
MassSpecGymID0000590	ignore
MassSpecGymID0000591	ignore
MassSpecGymID0000592	ignore
MassSpecGymID0000593	ignore
MassSpecGymID0000594	ignore
MassSpecGymID0000595	ignore
MassSpecGymID0000596	ignore
MassSpecGymID0000597	ignore
MassSpecGymID0000598	ignore
MassSpecGymID0000599	ignore
MassSpecGymID0000600	ignore
MassSpecGymID0000601	ignore
MassSpecGymID0000602	ignore
MassSpecGymID0000603	ignore
MassSpecGymID0000604	ignore
MassSpecGymID0000605	ignore
MassSpecGymID0000606	ignore
MassSpecGymID0000607	ignore
MassSpecGymID0000608	ignore
MassSpecGymID0000610	ignore
MassSpecGymID0000611	ignore
MassSpecGymID0000612	ignore
MassSpecGymID0000613	ignore
MassSpecGymID0000614	ignore
MassSpecGymID0000615	ignore
MassSpecGymID0000616	ignore
MassSpecGymID0000617	ignore
MassSpecGymID0000618	ignore
MassSpecGymID0000619	ignore
MassSpecGymID0000620	ignore
MassSpecGymID0000624	ignore
MassSpecGymID0000626	ignore
MassSpecGymID0000630	ignore
MassSpecGymID0000638	ignore
MassSpecGymID0000642	ignore
MassSpecGymID0000648	ignore
MassSpecGymID0000656	ignore
MassSpecGymID0000657	ignore
MassSpecGymID0000658	ignore
MassSpecGymID0000659	ignore
MassSpecGymID0000660	ignore
MassSpecGymID0000661	ignore
MassSpecGymID0000662	ignore
MassSpecGymID0000663	ignore
MassSpecGymID0000664	ignore
MassSpecGymID0000665	ignore
MassSpecGymID0000666	ignore
MassSpecGymID0000667	ignore
MassSpecGymID0000668	ignore
MassSpecGymID0000669	ignore
MassSpecGymID0000670	ignore
MassSpecGymID0000671	ignore
MassSpecGymID0000672	ignore
MassSpecGymID0000673	ignore
MassSpecGymID0000674	ignore
MassSpecGymID0000676	ignore
MassSpecGymID0000677	ignore
MassSpecGymID0000678	ignore
MassSpecGymID0000679	ignore
MassSpecGymID0000680	ignore
MassSpecGymID0000690	ignore
MassSpecGymID0000694	ignore
MassSpecGymID0000696	ignore
MassSpecGymID0000720	ignore
MassSpecGymID0000721	ignore
MassSpecGymID0000722	ignore
MassSpecGymID0000723	ignore
MassSpecGymID0000724	ignore
MassSpecGymID0000725	ignore
MassSpecGymID0000726	ignore
MassSpecGymID0000727	ignore
MassSpecGymID0000728	ignore
MassSpecGymID0000729	ignore
MassSpecGymID0000730	ignore
MassSpecGymID0000731	ignore
MassSpecGymID0000732	ignore
MassSpecGymID0000733	ignore
MassSpecGymID0000734	ignore
MassSpecGymID0000735	ignore
MassSpecGymID0000736	ignore
MassSpecGymID0000737	ignore
MassSpecGymID0000738	ignore
MassSpecGymID0000739	ignore
MassSpecGymID0000740	ignore
MassSpecGymID0000741	ignore
MassSpecGymID0000742	ignore
MassSpecGymID0000744	ignore
MassSpecGymID0000745	ignore
MassSpecGymID0000746	ignore
MassSpecGymID0000747	ignore
MassSpecGymID0000748	ignore
MassSpecGymID0000749	ignore
MassSpecGymID0000750	ignore
MassSpecGymID0000751	ignore
MassSpecGymID0000752	ignore
MassSpecGymID0000753	ignore
MassSpecGymID0000754	ignore
MassSpecGymID0000755	ignore
MassSpecGymID0000756	ignore
MassSpecGymID0000757	ignore
MassSpecGymID0000758	ignore
MassSpecGymID0000759	ignore
MassSpecGymID0000760	ignore
MassSpecGymID0000761	ignore
MassSpecGymID0000762	ignore
MassSpecGymID0000763	ignore
MassSpecGymID0000764	ignore
MassSpecGymID0000765	ignore
MassSpecGymID0000766	ignore
MassSpecGymID0000767	ignore
MassSpecGymID0000768	ignore
MassSpecGymID0000769	ignore
MassSpecGymID0000770	ignore
MassSpecGymID0000771	ignore
MassSpecGymID0000772	ignore
MassSpecGymID0000773	ignore
MassSpecGymID0000774	ignore
MassSpecGymID0000776	ignore
MassSpecGymID0000777	ignore
MassSpecGymID0000778	ignore
MassSpecGymID0000779	ignore
MassSpecGymID0000780	ignore
MassSpecGymID0000781	ignore
MassSpecGymID0000782	ignore
MassSpecGymID0000783	ignore
MassSpecGymID0000784	ignore
MassSpecGymID0000785	ignore
MassSpecGymID0000786	ignore
MassSpecGymID0000787	ignore
MassSpecGymID0000788	ignore
MassSpecGymID0000790	ignore
MassSpecGymID0000791	ignore
MassSpecGymID0000792	ignore
MassSpecGymID0000793	ignore
MassSpecGymID0000794	ignore
MassSpecGymID0000795	ignore
MassSpecGymID0000796	ignore
MassSpecGymID0000797	ignore
MassSpecGymID0000798	ignore
MassSpecGymID0000799	ignore
MassSpecGymID0000800	ignore
MassSpecGymID0000801	ignore
MassSpecGymID0000803	ignore
MassSpecGymID0000804	ignore
MassSpecGymID0000805	ignore
MassSpecGymID0000806	ignore
MassSpecGymID0000807	ignore
MassSpecGymID0000808	ignore
MassSpecGymID0000809	ignore
MassSpecGymID0000812	ignore
MassSpecGymID0000813	ignore
MassSpecGymID0000814	ignore
MassSpecGymID0000815	ignore
MassSpecGymID0000816	ignore
MassSpecGymID0000819	ignore
MassSpecGymID0000820	ignore
MassSpecGymID0000821	ignore
MassSpecGymID0000822	ignore
MassSpecGymID0000823	ignore
MassSpecGymID0000824	ignore
MassSpecGymID0000825	ignore
MassSpecGymID0000826	ignore
MassSpecGymID0000827	ignore
MassSpecGymID0000828	ignore
MassSpecGymID0000829	ignore
MassSpecGymID0000830	ignore
MassSpecGymID0000831	ignore
MassSpecGymID0000832	ignore
MassSpecGymID0000833	ignore
MassSpecGymID0000834	ignore
MassSpecGymID0000835	ignore
MassSpecGymID0000836	ignore
MassSpecGymID0000837	ignore
MassSpecGymID0000838	ignore
MassSpecGymID0000839	ignore
MassSpecGymID0000840	ignore
MassSpecGymID0000841	ignore
MassSpecGymID0000842	ignore
MassSpecGymID0000843	ignore
MassSpecGymID0000844	ignore
MassSpecGymID0000845	ignore
MassSpecGymID0000846	ignore
MassSpecGymID0000847	ignore
MassSpecGymID0000848	ignore
MassSpecGymID0000849	ignore
MassSpecGymID0000850	ignore
MassSpecGymID0000851	ignore
MassSpecGymID0000852	ignore
MassSpecGymID0000853	ignore
MassSpecGymID0000854	ignore
MassSpecGymID0000855	ignore
MassSpecGymID0000856	ignore
MassSpecGymID0000858	ignore
MassSpecGymID0000859	ignore
MassSpecGymID0000860	ignore
MassSpecGymID0000861	ignore
MassSpecGymID0000862	ignore
MassSpecGymID0000863	ignore
MassSpecGymID0000865	ignore
MassSpecGymID0000866	ignore
MassSpecGymID0000867	ignore
MassSpecGymID0000868	ignore
MassSpecGymID0000869	ignore
MassSpecGymID0000870	ignore
MassSpecGymID0000871	ignore
MassSpecGymID0000872	ignore
MassSpecGymID0000873	ignore
MassSpecGymID0000874	ignore
MassSpecGymID0000875	ignore
MassSpecGymID0000876	ignore
MassSpecGymID0000877	ignore
MassSpecGymID0000878	ignore
MassSpecGymID0000879	ignore
MassSpecGymID0000880	ignore
MassSpecGymID0000881	ignore
MassSpecGymID0000882	ignore
MassSpecGymID0000883	ignore
MassSpecGymID0000884	ignore
MassSpecGymID0000885	ignore
MassSpecGymID0000886	ignore
MassSpecGymID0000887	ignore
MassSpecGymID0000888	ignore
MassSpecGymID0000889	ignore
MassSpecGymID0000890	ignore
MassSpecGymID0000891	ignore
MassSpecGymID0000892	ignore
MassSpecGymID0000893	ignore
MassSpecGymID0000894	ignore
MassSpecGymID0000895	ignore
MassSpecGymID0000896	ignore
MassSpecGymID0000897	ignore
MassSpecGymID0000898	ignore
MassSpecGymID0000899	ignore
MassSpecGymID0000900	ignore
MassSpecGymID0000901	ignore
MassSpecGymID0000902	ignore
MassSpecGymID0000903	ignore
MassSpecGymID0000904	ignore
MassSpecGymID0000905	ignore
MassSpecGymID0000906	ignore
MassSpecGymID0000907	ignore
MassSpecGymID0000908	ignore
MassSpecGymID0000909	ignore
MassSpecGymID0000910	ignore
MassSpecGymID0000911	ignore
MassSpecGymID0000912	ignore
MassSpecGymID0000913	ignore
MassSpecGymID0000914	ignore
MassSpecGymID0000915	ignore
MassSpecGymID0000916	ignore
MassSpecGymID0000917	ignore
MassSpecGymID0000918	ignore
MassSpecGymID0000919	ignore
MassSpecGymID0000920	ignore
MassSpecGymID0000921	ignore
MassSpecGymID0000922	ignore
MassSpecGymID0000923	ignore
MassSpecGymID0000924	ignore
MassSpecGymID0000925	ignore
MassSpecGymID0000926	ignore
MassSpecGymID0000927	ignore
MassSpecGymID0000928	ignore
MassSpecGymID0000929	ignore
MassSpecGymID0000930	ignore
MassSpecGymID0000932	ignore
MassSpecGymID0000933	ignore
MassSpecGymID0000936	ignore
MassSpecGymID0000937	ignore
MassSpecGymID0000938	ignore
MassSpecGymID0000940	ignore
MassSpecGymID0000941	ignore
MassSpecGymID0000942	ignore
MassSpecGymID0000943	ignore
MassSpecGymID0000944	ignore
MassSpecGymID0000945	ignore
MassSpecGymID0000946	ignore
MassSpecGymID0000947	ignore
MassSpecGymID0000948	ignore
MassSpecGymID0000949	ignore
MassSpecGymID0000950	ignore
MassSpecGymID0000951	ignore
MassSpecGymID0000952	ignore
MassSpecGymID0000953	ignore
MassSpecGymID0000954	ignore
MassSpecGymID0000955	ignore
MassSpecGymID0000956	ignore
MassSpecGymID0000957	ignore
MassSpecGymID0000958	ignore
MassSpecGymID0000959	ignore
MassSpecGymID0000960	ignore
MassSpecGymID0000961	ignore
MassSpecGymID0000962	ignore
MassSpecGymID0000963	ignore
MassSpecGymID0000964	ignore
MassSpecGymID0000965	ignore
MassSpecGymID0000966	ignore
MassSpecGymID0000967	ignore
MassSpecGymID0000968	ignore
MassSpecGymID0000969	ignore
MassSpecGymID0000970	ignore
MassSpecGymID0000971	ignore
MassSpecGymID0000972	ignore
MassSpecGymID0000973	ignore
MassSpecGymID0000974	ignore
MassSpecGymID0000975	ignore
MassSpecGymID0000976	ignore
MassSpecGymID0000977	ignore
MassSpecGymID0000978	ignore
MassSpecGymID0000979	ignore
MassSpecGymID0000981	ignore
MassSpecGymID0000982	ignore
MassSpecGymID0000983	ignore
MassSpecGymID0000984	ignore
MassSpecGymID0000985	ignore
MassSpecGymID0000986	ignore
MassSpecGymID0000987	ignore
MassSpecGymID0000988	ignore
MassSpecGymID0000989	ignore
MassSpecGymID0000990	ignore
MassSpecGymID0000991	ignore
MassSpecGymID0000992	ignore
MassSpecGymID0000993	ignore
MassSpecGymID0000994	ignore
MassSpecGymID0000996	ignore
MassSpecGymID0000997	ignore
MassSpecGymID0000998	ignore
MassSpecGymID0000999	ignore
MassSpecGymID0001000	ignore
MassSpecGymID0001001	ignore
MassSpecGymID0001002	ignore
MassSpecGymID0001003	ignore
MassSpecGymID0001004	ignore
MassSpecGymID0001005	ignore
MassSpecGymID0001006	ignore
MassSpecGymID0001008	ignore
MassSpecGymID0001009	ignore
MassSpecGymID0001010	ignore
MassSpecGymID0001011	ignore
MassSpecGymID0001012	ignore
MassSpecGymID0001013	ignore
MassSpecGymID0001014	ignore
MassSpecGymID0001015	ignore
MassSpecGymID0001016	ignore
MassSpecGymID0001017	ignore
MassSpecGymID0001018	ignore
MassSpecGymID0001019	ignore
MassSpecGymID0001020	ignore
MassSpecGymID0001021	ignore
MassSpecGymID0001022	ignore
MassSpecGymID0001023	ignore
MassSpecGymID0001024	ignore
MassSpecGymID0001025	ignore
MassSpecGymID0001026	ignore
MassSpecGymID0001027	ignore
MassSpecGymID0001028	ignore
MassSpecGymID0001029	ignore
MassSpecGymID0001030	ignore
MassSpecGymID0001031	ignore
MassSpecGymID0001032	ignore
MassSpecGymID0001033	ignore
MassSpecGymID0001034	ignore
MassSpecGymID0001035	ignore
MassSpecGymID0001036	ignore
MassSpecGymID0001037	ignore
MassSpecGymID0001038	ignore
MassSpecGymID0001039	ignore
MassSpecGymID0001040	ignore
MassSpecGymID0001041	ignore
MassSpecGymID0001042	ignore
MassSpecGymID0001043	ignore
MassSpecGymID0001044	ignore
MassSpecGymID0001045	ignore
