spec_name,subset,target_smiles,strategy,threshold,top_n,mist_tanimoto,active_bits,previous_mist_tanimoto,previous_tanimoto_top1,previous_exact_match_top1
MassSpecGymID0018517,unknown,CS(=O)(=O)C1=CC(=C(C=C1)C(=O)C2C(=O)CCCC2=O)[N+](=O)[O-],top_n,,80,0.4938271641731262,80,0.9285714030265808,1.0,1.0
MassSpecGymID0018517,unknown,CS(=O)(=O)C1=CC(=C(C=C1)C(=O)C2C(=O)CCCC2=O)[N+](=O)[O-],top_n,,96,0.4270833432674408,96,0.9285714030265808,1.0,1.0
MassSpecGymID0018517,unknown,CS(=O)(=O)C1=CC(=C(C=C1)C(=O)C2C(=O)CCCC2=O)[N+](=O)[O-],top_n,,128,0.3203125,128,0.9285714030265808,1.0,1.0
MassSpecGymID0018517,unknown,CS(=O)(=O)C1=CC(=C(C=C1)C(=O)C2C(=O)CCCC2=O)[N+](=O)[O-],top_n,,160,0.2562499940395355,160,0.9285714030265808,1.0,1.0
MassSpecGymID0018517,unknown,CS(=O)(=O)C1=CC(=C(C=C1)C(=O)C2C(=O)CCCC2=O)[N+](=O)[O-],top_n,,256,0.16015625,256,0.9285714030265808,1.0,1.0
MassSpecGymID0058062,unknown,CCC(C)C1C(C=CC2(O1)CC3CC(O2)CC=C(C(C(C=CC=C4COC5C4(C(C=C(C5O)C)C(=O)O3)O)C)OC6CC(C(C(O6)C)OC7CC(C(C(O7)C)NC(=O)C)OC)OC)C)C,threshold,0.05,,0.6733333468437195,146,0.8166666626930237,0.8899082541465759,0.0
MassSpecGymID0058062,unknown,CCC(C)C1C(C=CC2(O1)CC3CC(O2)CC=C(C(C(C=CC=C4COC5C4(C(C=C(C5O)C)C(=O)O3)O)C)OC6CC(C(C(O6)C)OC7CC(C(C(O7)C)NC(=O)C)OC)OC)C)C,threshold,0.1,,0.7692307829856873,125,0.8166666626930237,0.8899082541465759,0.0
MassSpecGymID0058062,unknown,CCC(C)C1C(C=CC2(O1)CC3CC(O2)CC=C(C(C(C=CC=C4COC5C4(C(C=C(C5O)C)C(=O)O3)O)C)OC6CC(C(C(O6)C)OC7CC(C(C(O7)C)NC(=O)C)OC)OC)C)C,threshold,0.15,,0.7983871102333069,118,0.8166666626930237,0.8899082541465759,0.0
MassSpecGymID0058062,unknown,CCC(C)C1C(C=CC2(O1)CC3CC(O2)CC=C(C(C(C=CC=C4COC5C4(C(C=C(C5O)C)C(=O)O3)O)C)OC6CC(C(C(O6)C)OC7CC(C(C(O7)C)NC(=O)C)OC)OC)C)C,threshold,0.187,,0.8166666626930237,113,0.8166666626930237,0.8899082541465759,0.0
MassSpecGymID0058062,unknown,CCC(C)C1C(C=CC2(O1)CC3CC(O2)CC=C(C(C(C=CC=C4COC5C4(C(C=C(C5O)C)C(=O)O3)O)C)OC6CC(C(C(O6)C)OC7CC(C(C(O7)C)NC(=O)C)OC)OC)C)C,threshold,0.2,,0.8305084705352783,111,0.8166666626930237,0.8899082541465759,0.0
MassSpecGymID0058062,unknown,CCC(C)C1C(C=CC2(O1)CC3CC(O2)CC=C(C(C(C=CC=C4COC5C4(C(C=C(C5O)C)C(=O)O3)O)C)OC6CC(C(C(O6)C)OC7CC(C(C(O7)C)NC(=O)C)OC)OC)C)C,threshold,0.25,,0.8899082541465759,101,0.8166666626930237,0.8899082541465759,0.0
MassSpecGymID0058062,unknown,CCC(C)C1C(C=CC2(O1)CC3CC(O2)CC=C(C(C(C=CC=C4COC5C4(C(C=C(C5O)C)C(=O)O3)O)C)OC6CC(C(C(O6)C)OC7CC(C(C(O7)C)NC(=O)C)OC)OC)C)C,threshold,0.3,,0.9150943160057068,98,0.8166666626930237,0.8899082541465759,0.0
MassSpecGymID0058062,unknown,CCC(C)C1C(C=CC2(O1)CC3CC(O2)CC=C(C(C(C=CC=C4COC5C4(C(C=C(C5O)C)C(=O)O3)O)C)OC6CC(C(C(O6)C)OC7CC(C(C(O7)C)NC(=O)C)OC)OC)C)C,threshold,0.4,,0.9238095283508301,97,0.8166666626930237,0.8899082541465759,0.0
MassSpecGymID0058062,unknown,CCC(C)C1C(C=CC2(O1)CC3CC(O2)CC=C(C(C(C=CC=C4COC5C4(C(C=C(C5O)C)C(=O)O3)O)C)OC6CC(C(C(O6)C)OC7CC(C(C(O7)C)NC(=O)C)OC)OC)C)C,threshold,0.5,,0.9238095283508301,97,0.8166666626930237,0.8899082541465759,0.0
MassSpecGymID0058062,unknown,CCC(C)C1C(C=CC2(O1)CC3CC(O2)CC=C(C(C(C=CC=C4COC5C4(C(C=C(C5O)C)C(=O)O3)O)C)OC6CC(C(C(O6)C)OC7CC(C(C(O7)C)NC(=O)C)OC)OC)C)C,top_n,,16,0.15238095819950104,16,0.8166666626930237,0.8899082541465759,0.0
MassSpecGymID0058062,unknown,CCC(C)C1C(C=CC2(O1)CC3CC(O2)CC=C(C(C(C=CC=C4COC5C4(C(C=C(C5O)C)C(=O)O3)O)C)OC6CC(C(C(O6)C)OC7CC(C(C(O7)C)NC(=O)C)OC)OC)C)C,top_n,,32,0.3047619163990021,32,0.8166666626930237,0.8899082541465759,0.0
MassSpecGymID0058062,unknown,CCC(C)C1C(C=CC2(O1)CC3CC(O2)CC=C(C(C(C=CC=C4COC5C4(C(C=C(C5O)C)C(=O)O3)O)C)OC6CC(C(C(O6)C)OC7CC(C(C(O7)C)NC(=O)C)OC)OC)C)C,top_n,,48,0.4571428596973419,48,0.8166666626930237,0.8899082541465759,0.0
MassSpecGymID0058062,unknown,CCC(C)C1C(C=CC2(O1)CC3CC(O2)CC=C(C(C(C=CC=C4COC5C4(C(C=C(C5O)C)C(=O)O3)O)C)OC6CC(C(C(O6)C)OC7CC(C(C(O7)C)NC(=O)C)OC)OC)C)C,top_n,,64,0.6095238327980042,64,0.8166666626930237,0.8899082541465759,0.0
MassSpecGymID0058062,unknown,CCC(C)C1C(C=CC2(O1)CC3CC(O2)CC=C(C(C(C=CC=C4COC5C4(C(C=C(C5O)C)C(=O)O3)O)C)OC6CC(C(C(O6)C)OC7CC(C(C(O7)C)NC(=O)C)OC)OC)C)C,top_n,,80,0.761904776096344,80,0.8166666626930237,0.8899082541465759,0.0
MassSpecGymID0058062,unknown,CCC(C)C1C(C=CC2(O1)CC3CC(O2)CC=C(C(C(C=CC=C4COC5C4(C(C=C(C5O)C)C(=O)O3)O)C)OC6CC(C(C(O6)C)OC7CC(C(C(O7)C)NC(=O)C)OC)OC)C)C,top_n,,96,0.9142857193946838,96,0.8166666626930237,0.8899082541465759,0.0
MassSpecGymID0058062,unknown,CCC(C)C1C(C=CC2(O1)CC3CC(O2)CC=C(C(C(C=CC=C4COC5C4(C(C=C(C5O)C)C(=O)O3)O)C)OC6CC(C(C(O6)C)OC7CC(C(C(O7)C)NC(=O)C)OC)OC)C)C,top_n,,128,0.7518796920776367,128,0.8166666626930237,0.8899082541465759,0.0
MassSpecGymID0058062,unknown,CCC(C)C1C(C=CC2(O1)CC3CC(O2)CC=C(C(C(C=CC=C4COC5C4(C(C=C(C5O)C)C(=O)O3)O)C)OC6CC(C(C(O6)C)OC7CC(C(C(O7)C)NC(=O)C)OC)OC)C)C,top_n,,160,0.6158536672592163,160,0.8166666626930237,0.8899082541465759,0.0
MassSpecGymID0058062,unknown,CCC(C)C1C(C=CC2(O1)CC3CC(O2)CC=C(C(C(C=CC=C4COC5C4(C(C=C(C5O)C)C(=O)O3)O)C)OC6CC(C(C(O6)C)OC7CC(C(C(O7)C)NC(=O)C)OC)OC)C)C,top_n,,256,0.39382240176200867,256,0.8166666626930237,0.8899082541465759,0.0
MassSpecGymID0081883,unknown,CCN1CCC2(CC1)COC3=C2C=C4C(=C3)CCN4C(=O)C5=CC=C(C=C5)C6=C(C=C(C=C6)C7=NN=C(O7)C)C,threshold,0.05,,0.5470085740089417,113,0.7283950448036194,0.5632184147834778,0.0
MassSpecGymID0081883,unknown,CCN1CCC2(CC1)COC3=C2C=C4C(=C3)CCN4C(=O)C5=CC=C(C=C5)C6=C(C=C(C=C6)C7=NN=C(O7)C)C,threshold,0.1,,0.6888889074325562,84,0.7283950448036194,0.5632184147834778,0.0
MassSpecGymID0081883,unknown,CCN1CCC2(CC1)COC3=C2C=C4C(=C3)CCN4C(=O)C5=CC=C(C=C5)C6=C(C=C(C=C6)C7=NN=C(O7)C)C,threshold,0.15,,0.6931818127632141,81,0.7283950448036194,0.5632184147834778,0.0
MassSpecGymID0081883,unknown,CCN1CCC2(CC1)COC3=C2C=C4C(=C3)CCN4C(=O)C5=CC=C(C=C5)C6=C(C=C(C=C6)C7=NN=C(O7)C)C,threshold,0.187,,0.7283950448036194,72,0.7283950448036194,0.5632184147834778,0.0
MassSpecGymID0081883,unknown,CCN1CCC2(CC1)COC3=C2C=C4C(=C3)CCN4C(=O)C5=CC=C(C=C5)C6=C(C=C(C=C6)C7=NN=C(O7)C)C,threshold,0.2,,0.7160493731498718,71,0.7283950448036194,0.5632184147834778,0.0
MassSpecGymID0081883,unknown,CCN1CCC2(CC1)COC3=C2C=C4C(=C3)CCN4C(=O)C5=CC=C(C=C5)C6=C(C=C(C=C6)C7=NN=C(O7)C)C,threshold,0.25,,0.6666666865348816,67,0.7283950448036194,0.5632184147834778,0.0
MassSpecGymID0081883,unknown,CCN1CCC2(CC1)COC3=C2C=C4C(=C3)CCN4C(=O)C5=CC=C(C=C5)C6=C(C=C(C=C6)C7=NN=C(O7)C)C,threshold,0.3,,0.6666666865348816,67,0.7283950448036194,0.5632184147834778,0.0
MassSpecGymID0081883,unknown,CCN1CCC2(CC1)COC3=C2C=C4C(=C3)CCN4C(=O)C5=CC=C(C=C5)C6=C(C=C(C=C6)C7=NN=C(O7)C)C,threshold,0.4,,0.6625000238418579,65,0.7283950448036194,0.5632184147834778,0.0
MassSpecGymID0081883,unknown,CCN1CCC2(CC1)COC3=C2C=C4C(=C3)CCN4C(=O)C5=CC=C(C=C5)C6=C(C=C(C=C6)C7=NN=C(O7)C)C,threshold,0.5,,0.6582278609275818,63,0.7283950448036194,0.5632184147834778,0.0
MassSpecGymID0081883,unknown,CCN1CCC2(CC1)COC3=C2C=C4C(=C3)CCN4C(=O)C5=CC=C(C=C5)C6=C(C=C(C=C6)C7=NN=C(O7)C)C,top_n,,16,0.23529411852359772,16,0.7283950448036194,0.5632184147834778,0.0
MassSpecGymID0081883,unknown,CCN1CCC2(CC1)COC3=C2C=C4C(=C3)CCN4C(=O)C5=CC=C(C=C5)C6=C(C=C(C=C6)C7=NN=C(O7)C)C,top_n,,32,0.47058823704719543,32,0.7283950448036194,0.5632184147834778,0.0
MassSpecGymID0081883,unknown,CCN1CCC2(CC1)COC3=C2C=C4C(=C3)CCN4C(=O)C5=CC=C(C=C5)C6=C(C=C(C=C6)C7=NN=C(O7)C)C,top_n,,48,0.6111111044883728,48,0.7283950448036194,0.5632184147834778,0.0
MassSpecGymID0081883,unknown,CCN1CCC2(CC1)COC3=C2C=C4C(=C3)CCN4C(=O)C5=CC=C(C=C5)C6=C(C=C(C=C6)C7=NN=C(O7)C)C,top_n,,64,0.6708860993385315,64,0.7283950448036194,0.5632184147834778,0.0
MassSpecGymID0081883,unknown,CCN1CCC2(CC1)COC3=C2C=C4C(=C3)CCN4C(=O)C5=CC=C(C=C5)C6=C(C=C(C=C6)C7=NN=C(O7)C)C,top_n,,80,0.7011494040489197,80,0.7283950448036194,0.5632184147834778,0.0
MassSpecGymID0081883,unknown,CCN1CCC2(CC1)COC3=C2C=C4C(=C3)CCN4C(=O)C5=CC=C(C=C5)C6=C(C=C(C=C6)C7=NN=C(O7)C)C,top_n,,96,0.6399999856948853,96,0.7283950448036194,0.5632184147834778,0.0
MassSpecGymID0081883,unknown,CCN1CCC2(CC1)COC3=C2C=C4C(=C3)CCN4C(=O)C5=CC=C(C=C5)C6=C(C=C(C=C6)C7=NN=C(O7)C)C,top_n,,128,0.49618321657180786,128,0.7283950448036194,0.5632184147834778,0.0
MassSpecGymID0081883,unknown,CCN1CCC2(CC1)COC3=C2C=C4C(=C3)CCN4C(=O)C5=CC=C(C=C5)C6=C(C=C(C=C6)C7=NN=C(O7)C)C,top_n,,160,0.40740740299224854,160,0.7283950448036194,0.5632184147834778,0.0
MassSpecGymID0081883,unknown,CCN1CCC2(CC1)COC3=C2C=C4C(=C3)CCN4C(=O)C5=CC=C(C=C5)C6=C(C=C(C=C6)C7=NN=C(O7)C)C,top_n,,256,0.25581395626068115,256,0.7283950448036194,0.5632184147834778,0.0
MassSpecGymID0105109,unknown,CCN1CC2(C(CC(C34C2C(C(C31)C5(C6C4CC(C6OC(=O)C7=CC=CC=C7)(C(C5O)OC)O)OC(=O)C)OC)OC)O)COC,threshold,0.05,,0.29795917868614197,240,0.6489361524581909,0.3220339119434356,0.0
MassSpecGymID0105109,unknown,CCN1CC2(C(CC(C34C2C(C(C31)C5(C6C4CC(C6OC(=O)C7=CC=CC=C7)(C(C5O)OC)O)OC(=O)C)OC)OC)O)COC,threshold,0.1,,0.5190839767456055,121,0.6489361524581909,0.3220339119434356,0.0
MassSpecGymID0105109,unknown,CCN1CC2(C(CC(C34C2C(C(C31)C5(C6C4CC(C6OC(=O)C7=CC=CC=C7)(C(C5O)OC)O)OC(=O)C)OC)OC)O)COC,threshold,0.15,,0.5779816508293152,94,0.6489361524581909,0.3220339119434356,0.0
MassSpecGymID0105109,unknown,CCN1CC2(C(CC(C34C2C(C(C31)C5(C6C4CC(C6OC(=O)C7=CC=CC=C7)(C(C5O)OC)O)OC(=O)C)OC)OC)O)COC,threshold,0.187,,0.6489361524581909,77,0.6489361524581909,0.3220339119434356,0.0
MassSpecGymID0105109,unknown,CCN1CC2(C(CC(C34C2C(C(C31)C5(C6C4CC(C6OC(=O)C7=CC=CC=C7)(C(C5O)OC)O)OC(=O)C)OC)OC)O)COC,threshold,0.2,,0.6666666865348816,72,0.6489361524581909,0.3220339119434356,0.0
MassSpecGymID0105109,unknown,CCN1CC2(C(CC(C34C2C(C(C31)C5(C6C4CC(C6OC(=O)C7=CC=CC=C7)(C(C5O)OC)O)OC(=O)C)OC)OC)O)COC,threshold,0.25,,0.6626505851745605,60,0.6489361524581909,0.3220339119434356,0.0
MassSpecGymID0105109,unknown,CCN1CC2(C(CC(C34C2C(C(C31)C5(C6C4CC(C6OC(=O)C7=CC=CC=C7)(C(C5O)OC)O)OC(=O)C)OC)OC)O)COC,threshold,0.3,,0.6265060305595398,57,0.6489361524581909,0.3220339119434356,0.0
MassSpecGymID0105109,unknown,CCN1CC2(C(CC(C34C2C(C(C31)C5(C6C4CC(C6OC(=O)C7=CC=CC=C7)(C(C5O)OC)O)OC(=O)C)OC)OC)O)COC,threshold,0.4,,0.48750001192092896,41,0.6489361524581909,0.3220339119434356,0.0
MassSpecGymID0105109,unknown,CCN1CC2(C(CC(C34C2C(C(C31)C5(C6C4CC(C6OC(=O)C7=CC=CC=C7)(C(C5O)OC)O)OC(=O)C)OC)OC)O)COC,threshold,0.5,,0.4303797483444214,35,0.6489361524581909,0.3220339119434356,0.0
MassSpecGymID0105109,unknown,CCN1CC2(C(CC(C34C2C(C(C31)C5(C6C4CC(C6OC(=O)C7=CC=CC=C7)(C(C5O)OC)O)OC(=O)C)OC)OC)O)COC,top_n,,16,0.20512820780277252,16,0.6489361524581909,0.3220339119434356,0.0
MassSpecGymID0105109,unknown,CCN1CC2(C(CC(C34C2C(C(C31)C5(C6C4CC(C6OC(=O)C7=CC=CC=C7)(C(C5O)OC)O)OC(=O)C)OC)OC)O)COC,top_n,,32,0.39240506291389465,32,0.6489361524581909,0.3220339119434356,0.0
MassSpecGymID0105109,unknown,CCN1CC2(C(CC(C34C2C(C(C31)C5(C6C4CC(C6OC(=O)C7=CC=CC=C7)(C(C5O)OC)O)OC(=O)C)OC)OC)O)COC,top_n,,48,0.5555555820465088,48,0.6489361524581909,0.3220339119434356,0.0
MassSpecGymID0105109,unknown,CCN1CC2(C(CC(C34C2C(C(C31)C5(C6C4CC(C6OC(=O)C7=CC=CC=C7)(C(C5O)OC)O)OC(=O)C)OC)OC)O)COC,top_n,,64,0.6511628031730652,64,0.6489361524581909,0.3220339119434356,0.0
MassSpecGymID0105109,unknown,CCN1CC2(C(CC(C34C2C(C(C31)C5(C6C4CC(C6OC(=O)C7=CC=CC=C7)(C(C5O)OC)O)OC(=O)C)OC)OC)O)COC,top_n,,80,0.6288659572601318,80,0.6489361524581909,0.3220339119434356,0.0
MassSpecGymID0105109,unknown,CCN1CC2(C(CC(C34C2C(C(C31)C5(C6C4CC(C6OC(=O)C7=CC=CC=C7)(C(C5O)OC)O)OC(=O)C)OC)OC)O)COC,top_n,,96,0.5675675868988037,96,0.6489361524581909,0.3220339119434356,0.0
MassSpecGymID0105109,unknown,CCN1CC2(C(CC(C34C2C(C(C31)C5(C6C4CC(C6OC(=O)C7=CC=CC=C7)(C(C5O)OC)O)OC(=O)C)OC)OC)O)COC,top_n,,128,0.5036496520042419,128,0.6489361524581909,0.3220339119434356,0.0
MassSpecGymID0105109,unknown,CCN1CC2(C(CC(C34C2C(C(C31)C5(C6C4CC(C6OC(=O)C7=CC=CC=C7)(C(C5O)OC)O)OC(=O)C)OC)OC)O)COC,top_n,,160,0.4337349534034729,160,0.6489361524581909,0.3220339119434356,0.0
MassSpecGymID0105109,unknown,CCN1CC2(C(CC(C34C2C(C(C31)C5(C6C4CC(C6OC(=O)C7=CC=CC=C7)(C(C5O)OC)O)OC(=O)C)OC)OC)O)COC,top_n,,256,0.2895752787590027,256,0.6489361524581909,0.3220339119434356,0.0
MassSpecGymID0152325,unknown,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@@H]2[C@H]([C@@H](O[C@@H]([C@H]2OC(=O)/C=C/C3=CC(=C(C=C3)O)O)CO[C@H]4[C@@H]([C@](CO4)(CO)O)O)OCCC5=CC(=C(C=C5)O)O)O)O)O)O,threshold,0.05,,0.5785714387893677,140,0.761904776096344,0.7142857313156128,0.0
MassSpecGymID0152325,unknown,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@@H]2[C@H]([C@@H](O[C@@H]([C@H]2OC(=O)/C=C/C3=CC(=C(C=C3)O)O)CO[C@H]4[C@@H]([C@](CO4)(CO)O)O)OCCC5=CC(=C(C=C5)O)O)O)O)O)O,threshold,0.1,,0.7043478488922119,115,0.761904776096344,0.7142857313156128,0.0
MassSpecGymID0152325,unknown,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@@H]2[C@H]([C@@H](O[C@@H]([C@H]2OC(=O)/C=C/C3=CC(=C(C=C3)O)O)CO[C@H]4[C@@H]([C@](CO4)(CO)O)O)OCCC5=CC(=C(C=C5)O)O)O)O)O)O,threshold,0.15,,0.7339449524879456,108,0.761904776096344,0.7142857313156128,0.0
MassSpecGymID0152325,unknown,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@@H]2[C@H]([C@@H](O[C@@H]([C@H]2OC(=O)/C=C/C3=CC(=C(C=C3)O)O)CO[C@H]4[C@@H]([C@](CO4)(CO)O)O)OCCC5=CC(=C(C=C5)O)O)O)O)O)O,threshold,0.187,,0.761904776096344,104,0.761904776096344,0.7142857313156128,0.0
MassSpecGymID0152325,unknown,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@@H]2[C@H]([C@@H](O[C@@H]([C@H]2OC(=O)/C=C/C3=CC(=C(C=C3)O)O)CO[C@H]4[C@@H]([C@](CO4)(CO)O)O)OCCC5=CC(=C(C=C5)O)O)O)O)O)O,threshold,0.2,,0.7692307829856873,103,0.761904776096344,0.7142857313156128,0.0
MassSpecGymID0152325,unknown,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@@H]2[C@H]([C@@H](O[C@@H]([C@H]2OC(=O)/C=C/C3=CC(=C(C=C3)O)O)CO[C@H]4[C@@H]([C@](CO4)(CO)O)O)OCCC5=CC(=C(C=C5)O)O)O)O)O)O,threshold,0.25,,0.8247422575950623,96,0.761904776096344,0.7142857313156128,0.0
MassSpecGymID0152325,unknown,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@@H]2[C@H]([C@@H](O[C@@H]([C@H]2OC(=O)/C=C/C3=CC(=C(C=C3)O)O)CO[C@H]4[C@@H]([C@](CO4)(CO)O)O)OCCC5=CC(=C(C=C5)O)O)O)O)O)O,threshold,0.3,,0.8369565010070801,88,0.761904776096344,0.7142857313156128,0.0
MassSpecGymID0152325,unknown,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@@H]2[C@H]([C@@H](O[C@@H]([C@H]2OC(=O)/C=C/C3=CC(=C(C=C3)O)O)CO[C@H]4[C@@H]([C@](CO4)(CO)O)O)OCCC5=CC(=C(C=C5)O)O)O)O)O)O,threshold,0.4,,0.8068181872367859,78,0.761904776096344,0.7142857313156128,0.0
MassSpecGymID0152325,unknown,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@@H]2[C@H]([C@@H](O[C@@H]([C@H]2OC(=O)/C=C/C3=CC(=C(C=C3)O)O)CO[C@H]4[C@@H]([C@](CO4)(CO)O)O)OCCC5=CC(=C(C=C5)O)O)O)O)O)O,threshold,0.5,,0.7586206793785095,72,0.761904776096344,0.7142857313156128,0.0
MassSpecGymID0152325,unknown,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@@H]2[C@H]([C@@H](O[C@@H]([C@H]2OC(=O)/C=C/C3=CC(=C(C=C3)O)O)CO[C@H]4[C@@H]([C@](CO4)(CO)O)O)OCCC5=CC(=C(C=C5)O)O)O)O)O)O,top_n,,16,0.1975308656692505,16,0.761904776096344,0.7142857313156128,0.0
MassSpecGymID0152325,unknown,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@@H]2[C@H]([C@@H](O[C@@H]([C@H]2OC(=O)/C=C/C3=CC(=C(C=C3)O)O)CO[C@H]4[C@@H]([C@](CO4)(CO)O)O)OCCC5=CC(=C(C=C5)O)O)O)O)O)O,top_n,,32,0.395061731338501,32,0.761904776096344,0.7142857313156128,0.0
MassSpecGymID0152325,unknown,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@@H]2[C@H]([C@@H](O[C@@H]([C@H]2OC(=O)/C=C/C3=CC(=C(C=C3)O)O)CO[C@H]4[C@@H]([C@](CO4)(CO)O)O)OCCC5=CC(=C(C=C5)O)O)O)O)O)O,top_n,,48,0.5925925970077515,48,0.761904776096344,0.7142857313156128,0.0
MassSpecGymID0152325,unknown,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@@H]2[C@H]([C@@H](O[C@@H]([C@H]2OC(=O)/C=C/C3=CC(=C(C=C3)O)O)CO[C@H]4[C@@H]([C@](CO4)(CO)O)O)OCCC5=CC(=C(C=C5)O)O)O)O)O)O,top_n,,64,0.790123462677002,64,0.761904776096344,0.7142857313156128,0.0
MassSpecGymID0152325,unknown,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@@H]2[C@H]([C@@H](O[C@@H]([C@H]2OC(=O)/C=C/C3=CC(=C(C=C3)O)O)CO[C@H]4[C@@H]([C@](CO4)(CO)O)O)OCCC5=CC(=C(C=C5)O)O)O)O)O)O,top_n,,80,0.8295454382896423,80,0.761904776096344,0.7142857313156128,0.0
MassSpecGymID0152325,unknown,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@@H]2[C@H]([C@@H](O[C@@H]([C@H]2OC(=O)/C=C/C3=CC(=C(C=C3)O)O)CO[C@H]4[C@@H]([C@](CO4)(CO)O)O)OCCC5=CC(=C(C=C5)O)O)O)O)O)O,top_n,,96,0.8247422575950623,96,0.761904776096344,0.7142857313156128,0.0
MassSpecGymID0152325,unknown,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@@H]2[C@H]([C@@H](O[C@@H]([C@H]2OC(=O)/C=C/C3=CC(=C(C=C3)O)O)CO[C@H]4[C@@H]([C@](CO4)(CO)O)O)OCCC5=CC(=C(C=C5)O)O)O)O)O)O,top_n,,128,0.6328125,128,0.761904776096344,0.7142857313156128,0.0
MassSpecGymID0152325,unknown,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@@H]2[C@H]([C@@H](O[C@@H]([C@H]2OC(=O)/C=C/C3=CC(=C(C=C3)O)O)CO[C@H]4[C@@H]([C@](CO4)(CO)O)O)OCCC5=CC(=C(C=C5)O)O)O)O)O)O,top_n,,160,0.5062500238418579,160,0.761904776096344,0.7142857313156128,0.0
